virus	Sample_id	Background	Viral load	cov	n_sites_total	genome_coverage	dataset
B/Florida/4/2006	A	p6	1000	14162	14261	0.9930579903232593	nodedup
B/Florida/4/2006	B	p2	100	12389	14261	0.8687329079307201	nodedup
B/Florida/4/2006	C	p8	100000	14261	14261	1	nodedup
B/Florida/4/2006	D	p8	1000	14166	14261	0.9933384755627235	nodedup
B/Florida/4/2006	F	p6	100000	14261	14261	1	nodedup
B/Florida/4/2006	G	p2	100	12721	14261	0.8920131828062549	nodedup
B/Florida/4/2006	H	p8	100	14020	14261	0.9831007643222776	nodedup
B/Florida/4/2006	I	p6	100	14261	14261	1	nodedup
B/Florida/4/2006	J	p8	1000	14261	14261	1	nodedup
B/Florida/4/2006	K	p8	100000	14261	14261	1	nodedup
B/Florida/4/2006	L	p2	100000	14261	14261	1	nodedup
B/Florida/4/2006	M	p2	1000	14232	14261	0.997966482013884	nodedup
B/Florida/4/2006	N	p2	100000	14261	14261	1	nodedup
B/Florida/4/2006	O	p8	100	13865	14261	0.9722319612930369	nodedup
B/Florida/4/2006	P	p2	1000	14259	14261	0.9998597573802679	nodedup
Zikavirus	A	p6	1000	10187	10773	0.9456047526222965	nodedup
Zikavirus	B	p2	100	7032	10773	0.6527429685324422	nodedup
Zikavirus	C	p8	100000	10778	10773	1.0004641232711409	nodedup
Zikavirus	D	p8	1000	10330	10773	0.9588786781769237	nodedup
Zikavirus	E	control	0	108	10773	0.010025062656641603	nodedup
Zikavirus	F	p6	100000	10750	10773	0.9978650329527522	nodedup
Zikavirus	G	p2	100	8153	10773	0.756799405922213	nodedup
Zikavirus	H	p8	100	10022	10773	0.9302886846746495	nodedup
Zikavirus	I	p6	100	10628	10773	0.9865404251369163	nodedup
Zikavirus	J	p8	1000	10325	10773	0.958414554905783	nodedup
Zikavirus	K	p8	100000	10773	10773	1	nodedup
Zikavirus	L	p2	100000	10578	10773	0.9818991924255082	nodedup
Zikavirus	M	p2	1000	10569	10773	0.9810637705374547	nodedup
Zikavirus	N	p2	100000	10770	10773	0.9997215260373155	nodedup
Zikavirus	O	p8	100	8981	10773	0.8336582196231319	nodedup
Zikavirus	P	p2	1000	10716	10773	0.9947089947089947	nodedup
adenovirusF	A	p6	1000	28319	34214	0.8277021102472673	nodedup
adenovirusF	B	p2	100	19603	34214	0.5729525925059917	nodedup
adenovirusF	C	p8	100000	34214	34214	1	nodedup
adenovirusF	D	p8	1000	34214	34214	1	nodedup
adenovirusF	E	control	0	372	34214	0.010872742152335302	nodedup
adenovirusF	F	p6	100000	34214	34214	1	nodedup
adenovirusF	G	p2	100	20653	34214	0.6036417840650027	nodedup
adenovirusF	H	p8	100	34170	34214	0.99871397673467	nodedup
adenovirusF	I	p6	100	34214	34214	1	nodedup
adenovirusF	J	p8	1000	34214	34214	1	nodedup
adenovirusF	K	p8	100000	34214	34214	1	nodedup
adenovirusF	L	p2	100000	34214	34214	1	nodedup
adenovirusF	M	p2	1000	34214	34214	1	nodedup
adenovirusF	N	p2	100000	34214	34214	1	nodedup
adenovirusF	O	p8	100	31027	34214	0.9068509966680306	nodedup
adenovirusF	P	p2	1000	34214	34214	1	nodedup
herpesvirus5	A	p6	1000	186343	213655	0.8721677470688727	nodedup
herpesvirus5	B	p2	100	156789	213655	0.7338419414476609	nodedup
herpesvirus5	C	p8	100000	213435	213655	0.998970302590625	nodedup
herpesvirus5	D	p8	1000	211807	213655	0.9913505417612506	nodedup
herpesvirus5	E	control	0	2641	213655	0.012361049355269008	nodedup
herpesvirus5	F	p6	100000	213120	213655	0.997495963118111	nodedup
herpesvirus5	G	p2	100	163929	213655	0.7672603028246472	nodedup
herpesvirus5	H	p8	100	211222	213655	0.9886124827408673	nodedup
herpesvirus5	I	p6	100	213095	213655	0.9973789520488638	nodedup
herpesvirus5	J	p8	1000	211427	213655	0.989571973508694	nodedup
herpesvirus5	K	p8	100000	213652	213655	0.9999859586716904	nodedup
herpesvirus5	L	p2	100000	212972	213655	0.9968032575881678	nodedup
herpesvirus5	M	p2	1000	212453	213655	0.994374107790597	nodedup
herpesvirus5	N	p2	100000	213612	213655	0.9997987409608949	nodedup
herpesvirus5	O	p8	100	201690	213655	0.9439985022583136	nodedup
herpesvirus5	P	p2	1000	212950	213655	0.9967002878472303	nodedup
orthopneumovirusA	A	p6	1000	13992	15222	0.9191959006700827	nodedup
orthopneumovirusA	B	p2	100	12890	15222	0.8468006832216529	nodedup
orthopneumovirusA	C	p8	100000	15222	15222	1	nodedup
orthopneumovirusA	D	p8	1000	15218	15222	0.9997372224412036	nodedup
orthopneumovirusA	E	control	0	428	15222	0.02811719879122323	nodedup
orthopneumovirusA	F	p6	100000	15207	15222	0.9990145841545132	nodedup
orthopneumovirusA	G	p2	100	12775	15222	0.8392458284062541	nodedup
orthopneumovirusA	H	p8	100	15168	15222	0.9964525029562475	nodedup
orthopneumovirusA	I	p6	100	15222	15222	1	nodedup
orthopneumovirusA	J	p8	1000	15152	15222	0.9954013927210617	nodedup
orthopneumovirusA	K	p8	100000	15222	15222	1	nodedup
orthopneumovirusA	L	p2	100000	15221	15222	0.9999343056103008	nodedup
orthopneumovirusA	M	p2	1000	15208	15222	0.9990802785442123	nodedup
orthopneumovirusA	N	p2	100000	15222	15222	1	nodedup
orthopneumovirusA	O	p8	100	14828	15222	0.9741164104585468	nodedup
orthopneumovirusA	P	p2	1000	15214	15222	0.999474444882407	nodedup
orthoreovirus3	A	p6	1000	22478	23570	0.9536699193890539	nodedup
orthoreovirus3	B	p2	100	22814	23570	0.9679253288078066	nodedup
orthoreovirus3	C	p8	100000	23570	23570	1	nodedup
orthoreovirus3	D	p8	1000	23532	23570	0.998387781077641	nodedup
orthoreovirus3	E	control	0	3119	23570	0.1323292320746712	nodedup
orthoreovirus3	F	p6	100000	23527	23570	0.9981756470089096	nodedup
orthoreovirus3	G	p2	100	22815	23570	0.9679677556215528	nodedup
orthoreovirus3	H	p8	100	23538	23570	0.9986423419601188	nodedup
orthoreovirus3	I	p6	100	23570	23570	1	nodedup
orthoreovirus3	J	p8	1000	23550	23570	0.9991514637250742	nodedup
orthoreovirus3	K	p8	100000	23570	23570	1	nodedup
orthoreovirus3	L	p2	100000	23569	23570	0.9999575731862537	nodedup
orthoreovirus3	M	p2	1000	23558	23570	0.9994908782350446	nodedup
orthoreovirus3	N	p2	100000	23570	23570	1	nodedup
orthoreovirus3	O	p8	100	23404	23570	0.9929571489181163	nodedup
orthoreovirus3	P	p2	1000	23568	23570	0.9999151463725074	nodedup
