virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_adenovirus_40	34392	614	0	A	p6	1000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	5051	0	A	p6	1000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	3590	0	A	p6	1000	bowtie2	dedup_TE
Influenza_B_virus	14510	3593	0	A	p6	1000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	2988	0	A	p6	1000	bowtie2	dedup_TE
Zika_virus	10952	2386	0	A	p6	1000	bowtie2	dedup_TE
Human_adenovirus_40	34392	285	0	B	p2	100	bowtie2	dedup_TE
Human_betaherpesvirus	216303	3560	0	B	p2	100	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	559	0	B	p2	100	bowtie2	dedup_TE
Influenza_B_virus	14510	616	0	B	p2	100	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	1339	0	B	p2	100	bowtie2	dedup_TE
Zika_virus	10952	417	0	B	p2	100	bowtie2	dedup_TE
Human_adenovirus_40	34392	858828	0	C	p8	100000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	8924084	0	C	p8	100000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	927590	0	C	p8	100000	bowtie2	dedup_TE
Influenza_B_virus	14510	1118316	0	C	p8	100000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	3025859	0	C	p8	100000	bowtie2	dedup_TE
Zika_virus	10952	1038000	0	C	p8	100000	bowtie2	dedup_TE
Human_adenovirus_40	34392	3863	0	D	p8	1000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	32938	0	D	p8	1000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	5804	0	D	p8	1000	bowtie2	dedup_TE
Influenza_B_virus	14510	6362	0	D	p8	1000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	20330	0	D	p8	1000	bowtie2	dedup_TE
Zika_virus	10952	5020	0	D	p8	1000	bowtie2	dedup_TE
Human_adenovirus_40	34392	4	0	E	control	0	bowtie2	dedup_TE
Human_betaherpesvirus	216303	32	0	E	control	0	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	8	0	E	control	0	bowtie2	dedup_TE
Influenza_B_virus	14510	0	0	E	control	0	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	40	0	E	control	0	bowtie2	dedup_TE
Zika_virus	10952	6	0	E	control	0	bowtie2	dedup_TE
Human_adenovirus_40	34392	64050	0	F	p6	100000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	428333	0	F	p6	100000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	219784	0	F	p6	100000	bowtie2	dedup_TE
Influenza_B_virus	14510	266113	0	F	p6	100000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	217816	0	F	p6	100000	bowtie2	dedup_TE
Zika_virus	10952	174548	0	F	p6	100000	bowtie2	dedup_TE
Human_adenovirus_40	34392	257	0	G	p2	100	bowtie2	dedup_TE
Human_betaherpesvirus	216303	3312	0	G	p2	100	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	452	0	G	p2	100	bowtie2	dedup_TE
Influenza_B_virus	14510	574	0	G	p2	100	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	1200	0	G	p2	100	bowtie2	dedup_TE
Zika_virus	10952	465	0	G	p2	100	bowtie2	dedup_TE
Human_adenovirus_40	34392	2771	0	H	p8	100	bowtie2	dedup_TE
Human_betaherpesvirus	216303	20744	0	H	p8	100	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	3564	0	H	p8	100	bowtie2	dedup_TE
Influenza_B_virus	14510	3702	0	H	p8	100	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	14736	0	H	p8	100	bowtie2	dedup_TE
Zika_virus	10952	3368	0	H	p8	100	bowtie2	dedup_TE
Human_adenovirus_40	34392	149511	0	I	p6	100	bowtie2	dedup_TE
Human_betaherpesvirus	216303	2224738	0	I	p6	100	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	262370	0	I	p6	100	bowtie2	dedup_TE
Influenza_B_virus	14510	314723	0	I	p6	100	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	674594	0	I	p6	100	bowtie2	dedup_TE
Zika_virus	10952	263988	0	I	p6	100	bowtie2	dedup_TE
Human_adenovirus_40	34392	5547	0	J	p8	1000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	65669	0	J	p8	1000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	8764	0	J	p8	1000	bowtie2	dedup_TE
Influenza_B_virus	14510	10607	0	J	p8	1000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	26134	0	J	p8	1000	bowtie2	dedup_TE
Zika_virus	10952	9536	0	J	p8	1000	bowtie2	dedup_TE
Human_adenovirus_40	34392	1465555	0	K	p8	100000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	12686748	0	K	p8	100000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	1229391	0	K	p8	100000	bowtie2	dedup_TE
Influenza_B_virus	14510	1498388	0	K	p8	100000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	4525358	0	K	p8	100000	bowtie2	dedup_TE
Zika_virus	10952	1449997	0	K	p8	100000	bowtie2	dedup_TE
Human_adenovirus_40	34392	76557	0	L	p2	100000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	755320	0	L	p2	100000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	117909	0	L	p2	100000	bowtie2	dedup_TE
Influenza_B_virus	14510	135583	0	L	p2	100000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	366561	0	L	p2	100000	bowtie2	dedup_TE
Zika_virus	10952	104515	0	L	p2	100000	bowtie2	dedup_TE
Human_adenovirus_40	34392	15472	0	M	p2	1000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	122035	0	M	p2	1000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	17780	0	M	p2	1000	bowtie2	dedup_TE
Influenza_B_virus	14510	19409	0	M	p2	1000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	85224	0	M	p2	1000	bowtie2	dedup_TE
Zika_virus	10952	19038	0	M	p2	1000	bowtie2	dedup_TE
Human_adenovirus_40	34392	856646	0	N	p2	100000	bowtie2	dedup_TE
Human_betaherpesvirus	216303	6695755	0	N	p2	100000	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	15228	809777	0	N	p2	100000	bowtie2	dedup_TE
Influenza_B_virus	14510	944945	0	N	p2	100000	bowtie2	dedup_TE
Mammalian_orthoreovirus3	23416	3424826	0	N	p2	100000	bowtie2	dedup_TE
Zika_virus	10952	887398	0	N	p2	100000	bowtie2	dedup_TE
Human_adenovirus_40	34392	864	0	O	p8	100	bowtie2	dedup_TE
