virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
B/Florida/4/2006	14261	51690	0	A	p6	1000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	29320	0	A	p6	1000	bowtie2	nodedup_TE
adenovirusF	34214	3983	0	A	p6	1000	bowtie2	nodedup_TE
herpesvirus5	235646	71937	0	A	p6	1000	bowtie2	nodedup_TE
orthopneumovirusA	15222	45818	0	A	p6	1000	bowtie2	nodedup_TE
orthoreovirus3	23570	24293	0	A	p6	1000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	870	0	B	p2	100	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	537	0	B	p2	100	bowtie2	nodedup_TE
adenovirusF	34214	369	0	B	p2	100	bowtie2	nodedup_TE
herpesvirus5	235646	5118	0	B	p2	100	bowtie2	nodedup_TE
orthopneumovirusA	15222	829	0	B	p2	100	bowtie2	nodedup_TE
orthoreovirus3	23570	1610	0	B	p2	100	bowtie2	nodedup_TE
B/Florida/4/2006	14261	3379865	0	C	p8	100000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	2646156	0	C	p8	100000	bowtie2	nodedup_TE
adenovirusF	34214	1518055	0	C	p8	100000	bowtie2	nodedup_TE
herpesvirus5	235646	22505835	0	C	p8	100000	bowtie2	nodedup_TE
orthopneumovirusA	15222	2772687	0	C	p8	100000	bowtie2	nodedup_TE
orthoreovirus3	23570	7085470	0	C	p8	100000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	24194	0	D	p8	1000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	16680	0	D	p8	1000	bowtie2	nodedup_TE
adenovirusF	34214	9152	0	D	p8	1000	bowtie2	nodedup_TE
herpesvirus5	235646	128503	0	D	p8	1000	bowtie2	nodedup_TE
orthopneumovirusA	15222	22789	0	D	p8	1000	bowtie2	nodedup_TE
orthoreovirus3	23570	42538	0	D	p8	1000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	0	0	E	control	0	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	34	0	E	control	0	bowtie2	nodedup_TE
adenovirusF	34214	154	0	E	control	0	bowtie2	nodedup_TE
herpesvirus5	235646	981	0	E	control	0	bowtie2	nodedup_TE
orthopneumovirusA	15222	292	0	E	control	0	bowtie2	nodedup_TE
orthoreovirus3	23570	637	0	E	control	0	bowtie2	nodedup_TE
B/Florida/4/2006	14261	4656354	0	F	p6	100000	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	2546664	0	F	p6	100000	bowtie2	nodedup_TE
adenovirusF	34214	507327	0	F	p6	100000	bowtie2	nodedup_TE
herpesvirus5	235646	6932205	0	F	p6	100000	bowtie2	nodedup_TE
orthopneumovirusA	15222	3760554	0	F	p6	100000	bowtie2	nodedup_TE
orthoreovirus3	23570	2085444	0	F	p6	100000	bowtie2	nodedup_TE
B/Florida/4/2006	14261	810	0	G	p2	100	bowtie2	nodedup_TE
Zikavirus_MR-766	10807	604	0	G	p2	100	bowtie2	nodedup_TE
adenovirusF	34214	288	0	G	p2	100	bowtie2	nodedup_TE
