virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_adenovirus_40	34392	3879	0	A	p6	1000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	79188	0	A	p6	1000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	45859	0	A	p6	1000	bowtie2	nodedup_TE
Influenza_B_virus	14510	51939	0	A	p6	1000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	24210	0	A	p6	1000	bowtie2	nodedup_TE
Zika_virus	10952	29331	0	A	p6	1000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	367	0	B	p2	100	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	5623	0	B	p2	100	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	829	0	B	p2	100	bowtie2	nodedup_TE
Influenza_B_virus	14510	881	0	B	p2	100	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	1607	0	B	p2	100	bowtie2	nodedup_TE
Zika_virus	10952	537	0	B	p2	100	bowtie2	nodedup_TE
Human_adenovirus_40	34392	1510074	0	C	p8	100000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	24820190	0	C	p8	100000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	2773108	0	C	p8	100000	bowtie2	nodedup_TE
Influenza_B_virus	14510	3403754	0	C	p8	100000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	7049968	0	C	p8	100000	bowtie2	nodedup_TE
Zika_virus	10952	2647582	0	C	p8	100000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	9111	0	D	p8	1000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	141267	0	D	p8	1000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	22793	0	D	p8	1000	bowtie2	nodedup_TE
Influenza_B_virus	14510	24340	0	D	p8	1000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	42332	0	D	p8	1000	bowtie2	nodedup_TE
Zika_virus	10952	16684	0	D	p8	1000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	154	0	E	control	0	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	1160	0	E	control	0	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	292	0	E	control	0	bowtie2	nodedup_TE
Influenza_B_virus	14510	0	0	E	control	0	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	637	0	E	control	0	bowtie2	nodedup_TE
Zika_virus	10952	34	0	E	control	0	bowtie2	nodedup_TE
Human_adenovirus_40	34392	499992	0	F	p6	100000	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	7603545	0	F	p6	100000	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	3770289	0	F	p6	100000	bowtie2	nodedup_TE
Influenza_B_virus	14510	4699064	0	F	p6	100000	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	2075760	0	F	p6	100000	bowtie2	nodedup_TE
Zika_virus	10952	2548552	0	F	p6	100000	bowtie2	nodedup_TE
Human_adenovirus_40	34392	288	0	G	p2	100	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	4970	0	G	p2	100	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	658	0	G	p2	100	bowtie2	nodedup_TE
Influenza_B_virus	14510	812	0	G	p2	100	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	1362	0	G	p2	100	bowtie2	nodedup_TE
Zika_virus	10952	605	0	G	p2	100	bowtie2	nodedup_TE
Human_adenovirus_40	34392	19285	0	H	p8	100	bowtie2	nodedup_TE
Human_betaherpesvirus	216303	313766	0	H	p8	100	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	15228	48603	0	H	p8	100	bowtie2	nodedup_TE
Influenza_B_virus	14510	54135	0	H	p8	100	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	23416	122206	0	H	p8	100	bowtie2	nodedup_TE
Zika_virus	10952	43637	0	H	p8	100	bowtie2	nodedup_TE
