virus	length	matched	unmatched	Sample_id	Background	Viral load	dataset
InfluenzaB	14261	3539	0	A	p6	1000	dedup
Zikavirus	10808	417	0	A	p6	1000	dedup
adenovirusF	34214	613	0	A	p6	1000	dedup
herpesvirus5	235646	4560	0	A	p6	1000	dedup
orthopneumovirusA	15222	3625	0	A	p6	1000	dedup
orthoreovirus3	23570	3000	0	A	p6	1000	dedup
InfluenzaB	14261	613	0	B	p2	100	dedup
Zikavirus	10808	88	0	B	p2	100	dedup
adenovirusF	34214	287	0	B	p2	100	dedup
herpesvirus5	235646	3252	0	B	p2	100	dedup
orthopneumovirusA	15222	559	0	B	p2	100	dedup
orthoreovirus3	23570	1342	0	B	p2	100	dedup
InfluenzaB	14261	1100470	0	C	p8	100000	dedup
Zikavirus	10808	146760	0	C	p8	100000	dedup
adenovirusF	34214	865654	0	C	p8	100000	dedup
herpesvirus5	235646	8158499	0	C	p8	100000	dedup
orthopneumovirusA	15222	927188	0	C	p8	100000	dedup
orthoreovirus3	23570	3059780	0	C	p8	100000	dedup
InfluenzaB	14261	6311	0	D	p8	1000	dedup
Zikavirus	10808	614	0	D	p8	1000	dedup
adenovirusF	34214	3876	0	D	p8	1000	dedup
herpesvirus5	235646	30116	0	D	p8	1000	dedup
orthopneumovirusA	15222	5802	0	D	p8	1000	dedup
orthoreovirus3	23570	20487	0	D	p8	1000	dedup
InfluenzaB	14261	0	0	E	control	0	dedup
Zikavirus	10808	0	0	E	control	0	dedup
adenovirusF	34214	4	0	E	control	0	dedup
herpesvirus5	235646	30	0	E	control	0	dedup
orthopneumovirusA	15222	8	0	E	control	0	dedup
orthoreovirus3	23570	40	0	E	control	0	dedup
InfluenzaB	14261	259630	0	F	p6	100000	dedup
Zikavirus	10808	27826	0	F	p6	100000	dedup
adenovirusF	34214	64699	0	F	p6	100000	dedup
herpesvirus5	235646	395794	0	F	p6	100000	dedup
orthopneumovirusA	15222	218520	0	F	p6	100000	dedup
orthoreovirus3	23570	219669	0	F	p6	100000	dedup
InfluenzaB	14261	571	0	G	p2	100	dedup
Zikavirus	10808	63	0	G	p2	100	dedup
adenovirusF	34214	257	0	G	p2	100	dedup
herpesvirus5	235646	3026	0	G	p2	100	dedup
orthopneumovirusA	15222	452	0	G	p2	100	dedup
orthoreovirus3	23570	1206	0	G	p2	100	dedup
InfluenzaB	14261	3634	0	H	p8	100	dedup
Zikavirus	10808	500	0	H	p8	100	dedup
adenovirusF	34214	2777	0	H	p8	100	dedup
herpesvirus5	235646	19064	0	H	p8	100	dedup
orthopneumovirusA	15222	3557	0	H	p8	100	dedup
orthoreovirus3	23570	14777	0	H	p8	100	dedup
InfluenzaB	14261	307709	0	I	p6	100	dedup
Zikavirus	10808	38311	0	I	p6	100	dedup
adenovirusF	34214	151063	0	I	p6	100	dedup
herpesvirus5	235646	2010671	0	I	p6	100	dedup
orthopneumovirusA	15222	261928	0	I	p6	100	dedup
orthoreovirus3	23570	681776	0	I	p6	100	dedup
InfluenzaB	14261	10507	0	J	p8	1000	dedup
Zikavirus	10808	1649	0	J	p8	1000	dedup
adenovirusF	34214	5582	0	J	p8	1000	dedup
herpesvirus5	235646	59664	0	J	p8	1000	dedup
orthopneumovirusA	15222	8748	0	J	p8	1000	dedup
orthoreovirus3	23570	26331	0	J	p8	1000	dedup
InfluenzaB	14261	1471628	0	K	p8	100000	dedup
Zikavirus	10808	176900	0	K	p8	100000	dedup
adenovirusF	34214	1476696	0	K	p8	100000	dedup
herpesvirus5	235646	11596478	0	K	p8	100000	dedup
orthopneumovirusA	15222	1228232	0	K	p8	100000	dedup
orthoreovirus3	23570	4582588	0	K	p8	100000	dedup
InfluenzaB	14261	133859	0	L	p2	100000	dedup
Zikavirus	10808	16091	0	L	p2	100000	dedup
adenovirusF	34214	77087	0	L	p2	100000	dedup
herpesvirus5	235646	683860	0	L	p2	100000	dedup
orthopneumovirusA	15222	117872	0	L	p2	100000	dedup
orthoreovirus3	23570	369695	0	L	p2	100000	dedup
InfluenzaB	14261	19271	0	M	p2	1000	dedup
Zikavirus	10808	2588	0	M	p2	1000	dedup
adenovirusF	34214	15536	0	M	p2	1000	dedup
herpesvirus5	235646	111107	0	M	p2	1000	dedup
orthopneumovirusA	15222	17761	0	M	p2	1000	dedup
orthoreovirus3	23570	85866	0	M	p2	1000	dedup
InfluenzaB	14261	928625	0	N	p2	100000	dedup
Zikavirus	10808	109613	0	N	p2	100000	dedup
adenovirusF	34214	863374	0	N	p2	100000	dedup
herpesvirus5	235646	6103680	0	N	p2	100000	dedup
orthopneumovirusA	15222	808802	0	N	p2	100000	dedup
orthoreovirus3	23570	3462173	0	N	p2	100000	dedup
InfluenzaB	14261	1320	0	O	p8	100	dedup
Zikavirus	10808	230	0	O	p8	100	dedup
adenovirusF	34214	866	0	O	p8	100	dedup
herpesvirus5	235646	7804	0	O	p8	100	dedup
orthopneumovirusA	15222	1282	0	O	p8	100	dedup
orthoreovirus3	23570	3593	0	O	p8	100	dedup
InfluenzaB	14261	24840	0	P	p2	1000	dedup
Zikavirus	10808	2793	0	P	p2	1000	dedup
adenovirusF	34214	20832	0	P	p2	1000	dedup
herpesvirus5	235646	128148	0	P	p2	1000	dedup
orthopneumovirusA	15222	23021	0	P	p2	1000	dedup
orthoreovirus3	23570	113000	0	P	p2	1000	dedup
