virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
B/Florida/4/2006	14261	4870	0	A	p6	1000	ngm	dedup_TE
Zikavirus_MR-766	10807	2762	0	A	p6	1000	ngm	dedup_TE
adenovirusF	34214	652	0	A	p6	1000	ngm	dedup_TE
herpesvirus5	235646	5476	0	A	p6	1000	ngm	dedup_TE
orthopneumovirusA	15222	4799	0	A	p6	1000	ngm	dedup_TE
orthoreovirus3	23570	3935	0	A	p6	1000	ngm	dedup_TE
B/Florida/4/2006	14261	681	0	B	p2	100	ngm	dedup_TE
Zikavirus_MR-766	10807	461	0	B	p2	100	ngm	dedup_TE
adenovirusF	34214	334	0	B	p2	100	ngm	dedup_TE
herpesvirus5	235646	3777	0	B	p2	100	ngm	dedup_TE
orthopneumovirusA	15222	628	0	B	p2	100	ngm	dedup_TE
orthoreovirus3	23570	1506	0	B	p2	100	ngm	dedup_TE
B/Florida/4/2006	14261	1331778	0	C	p8	100000	ngm	dedup_TE
Zikavirus_MR-766	10807	1156742	0	C	p8	100000	ngm	dedup_TE
adenovirusF	34214	960383	0	C	p8	100000	ngm	dedup_TE
herpesvirus5	235646	9445492	0	C	p8	100000	ngm	dedup_TE
orthopneumovirusA	15222	1108205	0	C	p8	100000	ngm	dedup_TE
orthoreovirus3	23570	3569114	0	C	p8	100000	ngm	dedup_TE
B/Florida/4/2006	14261	7864	0	D	p8	1000	ngm	dedup_TE
Zikavirus_MR-766	10807	5698	0	D	p8	1000	ngm	dedup_TE
adenovirusF	34214	4286	0	D	p8	1000	ngm	dedup_TE
herpesvirus5	235646	34862	0	D	p8	1000	ngm	dedup_TE
orthopneumovirusA	15222	7070	0	D	p8	1000	ngm	dedup_TE
orthoreovirus3	23570	23633	0	D	p8	1000	ngm	dedup_TE
B/Florida/4/2006	14261	1	0	E	control	0	ngm	dedup_TE
Zikavirus_MR-766	10807	8	0	E	control	0	ngm	dedup_TE
adenovirusF	34214	11	0	E	control	0	ngm	dedup_TE
herpesvirus5	235646	84	0	E	control	0	ngm	dedup_TE
orthopneumovirusA	15222	8	0	E	control	0	ngm	dedup_TE
orthoreovirus3	23570	46	0	E	control	0	ngm	dedup_TE
B/Florida/4/2006	14261	364967	0	F	p6	100000	ngm	dedup_TE
Zikavirus_MR-766	10807	209366	0	F	p6	100000	ngm	dedup_TE
adenovirusF	34214	68305	0	F	p6	100000	ngm	dedup_TE
herpesvirus5	235646	433390	0	F	p6	100000	ngm	dedup_TE
orthopneumovirusA	15222	295328	0	F	p6	100000	ngm	dedup_TE
orthoreovirus3	23570	276434	0	F	p6	100000	ngm	dedup_TE
B/Florida/4/2006	14261	627	0	G	p2	100	ngm	dedup_TE
Zikavirus_MR-766	10807	508	0	G	p2	100	ngm	dedup_TE
adenovirusF	34214	278	0	G	p2	100	ngm	dedup_TE
herpesvirus5	235646	3410	0	G	p2	100	ngm	dedup_TE
orthopneumovirusA	15222	512	0	G	p2	100	ngm	dedup_TE
orthoreovirus3	23570	1322	0	G	p2	100	ngm	dedup_TE
B/Florida/4/2006	14261	4729	0	H	p8	100	ngm	dedup_TE
Zikavirus_MR-766	10807	4005	0	H	p8	100	ngm	dedup_TE
adenovirusF	34214	3167	0	H	p8	100	ngm	dedup_TE
herpesvirus5	235646	24006	0	H	p8	100	ngm	dedup_TE
orthopneumovirusA	15222	4811	0	H	p8	100	ngm	dedup_TE
orthoreovirus3	23570	18017	0	H	p8	100	ngm	dedup_TE
B/Florida/4/2006	14261	372096	0	I	p6	100	ngm	dedup_TE
Zikavirus_MR-766	10807	289464	0	I	p6	100	ngm	dedup_TE
adenovirusF	34214	165213	0	I	p6	100	ngm	dedup_TE
herpesvirus5	235646	2253744	0	I	p6	100	ngm	dedup_TE
orthopneumovirusA	15222	305743	0	I	p6	100	ngm	dedup_TE
orthoreovirus3	23570	782089	0	I	p6	100	ngm	dedup_TE
B/Florida/4/2006	14261	12287	0	J	p8	1000	ngm	dedup_TE
Zikavirus_MR-766	10807	10335	0	J	p8	1000	ngm	dedup_TE
adenovirusF	34214	5994	0	J	p8	1000	ngm	dedup_TE
herpesvirus5	235646	66294	0	J	p8	1000	ngm	dedup_TE
orthopneumovirusA	15222	10170	0	J	p8	1000	ngm	dedup_TE
orthoreovirus3	23570	29823	0	J	p8	1000	ngm	dedup_TE
B/Florida/4/2006	14261	1858529	0	K	p8	100000	ngm	dedup_TE
Zikavirus_MR-766	10807	1664951	0	K	p8	100000	ngm	dedup_TE
adenovirusF	34214	1674890	0	K	p8	100000	ngm	dedup_TE
herpesvirus5	235646	13832727	0	K	p8	100000	ngm	dedup_TE
orthopneumovirusA	15222	1524095	0	K	p8	100000	ngm	dedup_TE
orthoreovirus3	23570	5502908	0	K	p8	100000	ngm	dedup_TE
B/Florida/4/2006	14261	162248	0	L	p2	100000	ngm	dedup_TE
Zikavirus_MR-766	10807	116323	0	L	p2	100000	ngm	dedup_TE
adenovirusF	34214	84919	0	L	p2	100000	ngm	dedup_TE
herpesvirus5	235646	790603	0	L	p2	100000	ngm	dedup_TE
orthopneumovirusA	15222	142913	0	L	p2	100000	ngm	dedup_TE
orthoreovirus3	23570	429290	0	L	p2	100000	ngm	dedup_TE
B/Florida/4/2006	14261	24085	0	M	p2	1000	ngm	dedup_TE
Zikavirus_MR-766	10807	21598	0	M	p2	1000	ngm	dedup_TE
adenovirusF	34214	17221	0	M	p2	1000	ngm	dedup_TE
herpesvirus5	235646	129777	0	M	p2	1000	ngm	dedup_TE
orthopneumovirusA	15222	22290	0	M	p2	1000	ngm	dedup_TE
orthoreovirus3	23570	100349	0	M	p2	1000	ngm	dedup_TE
B/Florida/4/2006	14261	1178308	0	N	p2	100000	ngm	dedup_TE
Zikavirus_MR-766	10807	1011494	0	N	p2	100000	ngm	dedup_TE
adenovirusF	34214	969370	0	N	p2	100000	ngm	dedup_TE
herpesvirus5	235646	7264646	0	N	p2	100000	ngm	dedup_TE
orthopneumovirusA	15222	1009840	0	N	p2	100000	ngm	dedup_TE
orthoreovirus3	23570	4117975	0	N	p2	100000	ngm	dedup_TE
B/Florida/4/2006	14261	1495	0	O	p8	100	ngm	dedup_TE
Zikavirus_MR-766	10807	1428	0	O	p8	100	ngm	dedup_TE
adenovirusF	34214	928	0	O	p8	100	ngm	dedup_TE
herpesvirus5	235646	8733	0	O	p8	100	ngm	dedup_TE
orthopneumovirusA	15222	1423	0	O	p8	100	ngm	dedup_TE
orthoreovirus3	23570	4026	0	O	p8	100	ngm	dedup_TE
B/Florida/4/2006	14261	33664	0	P	p2	1000	ngm	dedup_TE
Zikavirus_MR-766	10807	25644	0	P	p2	1000	ngm	dedup_TE
adenovirusF	34214	23838	0	P	p2	1000	ngm	dedup_TE
herpesvirus5	235646	159056	0	P	p2	1000	ngm	dedup_TE
orthopneumovirusA	15222	31112	0	P	p2	1000	ngm	dedup_TE
orthoreovirus3	23570	137854	0	P	p2	1000	ngm	dedup_TE
