virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_adenovirus_40	34392	658	0	A	p6	1000	ngm	dedup_TE
Human_betaherpesvirus	216303	5941	0	A	p6	1000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	4786	0	A	p6	1000	ngm	dedup_TE
Influenza_B_virus	14510	4915	0	A	p6	1000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	3934	0	A	p6	1000	ngm	dedup_TE
Zika_virus	10952	2812	0	A	p6	1000	ngm	dedup_TE
Human_adenovirus_40	34392	330	0	B	p2	100	ngm	dedup_TE
Human_betaherpesvirus	216303	4075	0	B	p2	100	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	629	0	B	p2	100	ngm	dedup_TE
Influenza_B_virus	14510	680	0	B	p2	100	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	1516	0	B	p2	100	ngm	dedup_TE
Zika_virus	10952	463	0	B	p2	100	ngm	dedup_TE
Human_adenovirus_40	34392	951961	0	C	p8	100000	ngm	dedup_TE
Human_betaherpesvirus	216303	10021664	0	C	p8	100000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	1108082	0	C	p8	100000	ngm	dedup_TE
Influenza_B_virus	14510	1337205	0	C	p8	100000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	3559212	0	C	p8	100000	ngm	dedup_TE
Zika_virus	10952	1162007	0	C	p8	100000	ngm	dedup_TE
Human_adenovirus_40	34392	4272	0	D	p8	1000	ngm	dedup_TE
Human_betaherpesvirus	216303	37292	0	D	p8	1000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	7067	0	D	p8	1000	ngm	dedup_TE
Influenza_B_virus	14510	7915	0	D	p8	1000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	23621	0	D	p8	1000	ngm	dedup_TE
Zika_virus	10952	5753	0	D	p8	1000	ngm	dedup_TE
Human_adenovirus_40	34392	10	0	E	control	0	ngm	dedup_TE
Human_betaherpesvirus	216303	87	0	E	control	0	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	11	0	E	control	0	ngm	dedup_TE
Influenza_B_virus	14510	1	0	E	control	0	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	44	0	E	control	0	ngm	dedup_TE
Zika_virus	10952	8	0	E	control	0	ngm	dedup_TE
Human_adenovirus_40	34392	67662	0	F	p6	100000	ngm	dedup_TE
Human_betaherpesvirus	216303	457403	0	F	p6	100000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	295502	0	F	p6	100000	ngm	dedup_TE
Influenza_B_virus	14510	369288	0	F	p6	100000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	276567	0	F	p6	100000	ngm	dedup_TE
Zika_virus	10952	212950	0	F	p6	100000	ngm	dedup_TE
Human_adenovirus_40	34392	280	0	G	p2	100	ngm	dedup_TE
Human_betaherpesvirus	216303	3655	0	G	p2	100	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	514	0	G	p2	100	ngm	dedup_TE
Influenza_B_virus	14510	624	0	G	p2	100	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	1320	0	G	p2	100	ngm	dedup_TE
Zika_virus	10952	508	0	G	p2	100	ngm	dedup_TE
Human_adenovirus_40	34392	3167	0	H	p8	100	ngm	dedup_TE
Human_betaherpesvirus	216303	25293	0	H	p8	100	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	4776	0	H	p8	100	ngm	dedup_TE
Influenza_B_virus	14510	4750	0	H	p8	100	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	17988	0	H	p8	100	ngm	dedup_TE
Zika_virus	10952	4051	0	H	p8	100	ngm	dedup_TE
Human_adenovirus_40	34392	163549	0	I	p6	100	ngm	dedup_TE
Human_betaherpesvirus	216303	2439083	0	I	p6	100	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	305706	0	I	p6	100	ngm	dedup_TE
Influenza_B_virus	14510	373446	0	I	p6	100	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	781668	0	I	p6	100	ngm	dedup_TE
Zika_virus	10952	290073	0	I	p6	100	ngm	dedup_TE
Human_adenovirus_40	34392	5942	0	J	p8	1000	ngm	dedup_TE
Human_betaherpesvirus	216303	71665	0	J	p8	1000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	10181	0	J	p8	1000	ngm	dedup_TE
Influenza_B_virus	14510	12347	0	J	p8	1000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	29847	0	J	p8	1000	ngm	dedup_TE
Zika_virus	10952	10360	0	J	p8	1000	ngm	dedup_TE
Human_adenovirus_40	34392	1660344	0	K	p8	100000	ngm	dedup_TE
Human_betaherpesvirus	216303	14688986	0	K	p8	100000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	1523667	0	K	p8	100000	ngm	dedup_TE
Influenza_B_virus	14510	1867988	0	K	p8	100000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	5483945	0	K	p8	100000	ngm	dedup_TE
Zika_virus	10952	1674163	0	K	p8	100000	ngm	dedup_TE
Human_adenovirus_40	34392	84072	0	L	p2	100000	ngm	dedup_TE
Human_betaherpesvirus	216303	844301	0	L	p2	100000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	142889	0	L	p2	100000	ngm	dedup_TE
Influenza_B_virus	14510	162926	0	L	p2	100000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	428635	0	L	p2	100000	ngm	dedup_TE
Zika_virus	10952	116979	0	L	p2	100000	ngm	dedup_TE
Human_adenovirus_40	34392	17071	0	M	p2	1000	ngm	dedup_TE
Human_betaherpesvirus	216303	139306	0	M	p2	1000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	22270	0	M	p2	1000	ngm	dedup_TE
Influenza_B_virus	14510	24261	0	M	p2	1000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	100353	0	M	p2	1000	ngm	dedup_TE
Zika_virus	10952	21860	0	M	p2	1000	ngm	dedup_TE
Human_adenovirus_40	34392	960277	0	N	p2	100000	ngm	dedup_TE
Human_betaherpesvirus	216303	7691835	0	N	p2	100000	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	1009249	0	N	p2	100000	ngm	dedup_TE
Influenza_B_virus	14510	1186196	0	N	p2	100000	ngm	dedup_TE
Mammalian_orthoreovirus3	23416	4105152	0	N	p2	100000	ngm	dedup_TE
Zika_virus	10952	1019400	0	N	p2	100000	ngm	dedup_TE
Human_adenovirus_40	34392	925	0	O	p8	100	ngm	dedup_TE
Human_betaherpesvirus	216303	9547	0	O	p8	100	ngm	dedup_TE
Human_respiratory_syncytial_virus	15228	1423	0	O	p8	100	ngm	dedup_TE
Influenza_B_virus	14510	1496	0	O	p8	100	ngm	dedup_TE
