virus	length	matched	unmatched	Sample_id	Background	Viral load	mapper	type
Human_adenovirus_40	34392	3990	0	A	p6	1000	ngm	nodedup_TE
Human_betaherpesvirus	216303	81928	0	A	p6	1000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	49987	0	A	p6	1000	ngm	nodedup_TE
Influenza_B_virus	14510	57022	0	A	p6	1000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	26890	0	A	p6	1000	ngm	nodedup_TE
Zika_virus	10952	30717	0	A	p6	1000	ngm	nodedup_TE
Human_adenovirus_40	34392	413	0	B	p2	100	ngm	nodedup_TE
Human_betaherpesvirus	216303	6281	0	B	p2	100	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	918	0	B	p2	100	ngm	nodedup_TE
Influenza_B_virus	14510	974	0	B	p2	100	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	1807	0	B	p2	100	ngm	nodedup_TE
Zika_virus	10952	589	0	B	p2	100	ngm	nodedup_TE
Human_adenovirus_40	34392	1590913	0	C	p8	100000	ngm	nodedup_TE
Human_betaherpesvirus	216303	26308335	0	C	p8	100000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	3022216	0	C	p8	100000	ngm	nodedup_TE
Influenza_B_virus	14510	3735998	0	C	p8	100000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	7702986	0	C	p8	100000	ngm	nodedup_TE
Zika_virus	10952	2798905	0	C	p8	100000	ngm	nodedup_TE
Human_adenovirus_40	34392	9622	0	D	p8	1000	ngm	nodedup_TE
Human_betaherpesvirus	216303	149277	0	D	p8	1000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	24735	0	D	p8	1000	ngm	nodedup_TE
Influenza_B_virus	14510	26683	0	D	p8	1000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	46150	0	D	p8	1000	ngm	nodedup_TE
Zika_virus	10952	17734	0	D	p8	1000	ngm	nodedup_TE
Human_adenovirus_40	34392	379	0	E	control	0	ngm	nodedup_TE
Human_betaherpesvirus	216303	1274	0	E	control	0	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	320	0	E	control	0	ngm	nodedup_TE
Influenza_B_virus	14510	1	0	E	control	0	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	655	0	E	control	0	ngm	nodedup_TE
Zika_virus	10952	48	0	E	control	0	ngm	nodedup_TE
Human_adenovirus_40	34392	511739	0	F	p6	100000	ngm	nodedup_TE
Human_betaherpesvirus	216303	7778554	0	F	p6	100000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	4134406	0	F	p6	100000	ngm	nodedup_TE
Influenza_B_virus	14510	5240720	0	F	p6	100000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	2276763	0	F	p6	100000	ngm	nodedup_TE
Zika_virus	10952	2690375	0	F	p6	100000	ngm	nodedup_TE
Human_adenovirus_40	34392	313	0	G	p2	100	ngm	nodedup_TE
Human_betaherpesvirus	216303	5402	0	G	p2	100	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	724	0	G	p2	100	ngm	nodedup_TE
Influenza_B_virus	14510	876	0	G	p2	100	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	1488	0	G	p2	100	ngm	nodedup_TE
Zika_virus	10952	650	0	G	p2	100	ngm	nodedup_TE
Human_adenovirus_40	34392	20279	0	H	p8	100	ngm	nodedup_TE
Human_betaherpesvirus	216303	330560	0	H	p8	100	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	53198	0	H	p8	100	ngm	nodedup_TE
Influenza_B_virus	14510	58680	0	H	p8	100	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	132284	0	H	p8	100	ngm	nodedup_TE
Zika_virus	10952	45829	0	H	p8	100	ngm	nodedup_TE
Human_adenovirus_40	34392	180333	0	I	p6	100	ngm	nodedup_TE
Human_betaherpesvirus	216303	2832412	0	I	p6	100	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	387034	0	I	p6	100	ngm	nodedup_TE
Influenza_B_virus	14510	480391	0	I	p6	100	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	954409	0	I	p6	100	ngm	nodedup_TE
Zika_virus	10952	345258	0	I	p6	100	ngm	nodedup_TE
Human_adenovirus_40	34392	7564	0	J	p8	1000	ngm	nodedup_TE
Human_betaherpesvirus	216303	117323	0	J	p8	1000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	15593	0	J	p8	1000	ngm	nodedup_TE
Influenza_B_virus	14510	18869	0	J	p8	1000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	36236	0	J	p8	1000	ngm	nodedup_TE
Zika_virus	10952	14405	0	J	p8	1000	ngm	nodedup_TE
Human_adenovirus_40	34392	3675811	0	K	p8	100000	ngm	nodedup_TE
Human_betaherpesvirus	216303	58898331	0	K	p8	100000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	6314660	0	K	p8	100000	ngm	nodedup_TE
Influenza_B_virus	14510	7847742	0	K	p8	100000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	16316618	0	K	p8	100000	ngm	nodedup_TE
Zika_virus	10952	6056774	0	K	p8	100000	ngm	nodedup_TE
Human_adenovirus_40	34392	145606	0	L	p2	100000	ngm	nodedup_TE
Human_betaherpesvirus	216303	2201650	0	L	p2	100000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	361012	0	L	p2	100000	ngm	nodedup_TE
Influenza_B_virus	14510	412646	0	L	p2	100000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	724194	0	L	p2	100000	ngm	nodedup_TE
Zika_virus	10952	246966	0	L	p2	100000	ngm	nodedup_TE
Human_adenovirus_40	34392	57440	0	M	p2	1000	ngm	nodedup_TE
Human_betaherpesvirus	216303	885192	0	M	p2	1000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	125696	0	M	p2	1000	ngm	nodedup_TE
Influenza_B_virus	14510	141414	0	M	p2	1000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	380691	0	M	p2	1000	ngm	nodedup_TE
Zika_virus	10952	119543	0	M	p2	1000	ngm	nodedup_TE
Human_adenovirus_40	34392	2824624	0	N	p2	100000	ngm	nodedup_TE
Human_betaherpesvirus	216303	40948394	0	N	p2	100000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	5664464	0	N	p2	100000	ngm	nodedup_TE
Influenza_B_virus	14510	6885265	0	N	p2	100000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	18520868	0	N	p2	100000	ngm	nodedup_TE
Zika_virus	10952	5297301	0	N	p2	100000	ngm	nodedup_TE
Human_adenovirus_40	34392	1266	0	O	p8	100	ngm	nodedup_TE
Human_betaherpesvirus	216303	16338	0	O	p8	100	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	2260	0	O	p8	100	ngm	nodedup_TE
Influenza_B_virus	14510	2347	0	O	p8	100	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	5036	0	O	p8	100	ngm	nodedup_TE
Zika_virus	10952	2074	0	O	p8	100	ngm	nodedup_TE
Human_adenovirus_40	34392	198070	0	P	p2	1000	ngm	nodedup_TE
Human_betaherpesvirus	216303	2997891	0	P	p2	1000	ngm	nodedup_TE
Human_respiratory_syncytial_virus	15228	450610	0	P	p2	1000	ngm	nodedup_TE
Influenza_B_virus	14510	517848	0	P	p2	1000	ngm	nodedup_TE
Mammalian_orthoreovirus3	23416	1334011	0	P	p2	1000	ngm	nodedup_TE
Zika_virus	10952	388226	0	P	p2	1000	ngm	nodedup_TE
