virus	length	matched	unmatched	Sample_id	Background	Viral load	dataset
InfluenzaB	14261	3596	0	A	p6	1000	nodedup
Zikavirus	10808	1400	0	A	p6	1000	nodedup
adenovirusF	34214	626	0	A	p6	1000	nodedup
herpesvirus5	235646	4751	0	A	p6	1000	nodedup
orthopneumovirusA	15222	3689	0	A	p6	1000	nodedup
orthoreovirus3	23570	3073	0	A	p6	1000	nodedup
InfluenzaB	14261	624	0	B	p2	100	nodedup
Zikavirus	10808	230	0	B	p2	100	nodedup
adenovirusF	34214	294	0	B	p2	100	nodedup
herpesvirus5	235646	3354	0	B	p2	100	nodedup
orthopneumovirusA	15222	563	0	B	p2	100	nodedup
orthoreovirus3	23570	1364	0	B	p2	100	nodedup
InfluenzaB	14261	1109683	0	C	p8	100000	nodedup
Zikavirus	10808	496751	0	C	p8	100000	nodedup
adenovirusF	34214	869461	0	C	p8	100000	nodedup
herpesvirus5	235646	8364625	0	C	p8	100000	nodedup
orthopneumovirusA	15222	936799	0	C	p8	100000	nodedup
orthoreovirus3	23570	3082802	0	C	p8	100000	nodedup
InfluenzaB	14261	6346	0	D	p8	1000	nodedup
Zikavirus	10808	2634	0	D	p8	1000	nodedup
adenovirusF	34214	3893	0	D	p8	1000	nodedup
herpesvirus5	235646	30980	0	D	p8	1000	nodedup
orthopneumovirusA	15222	5864	0	D	p8	1000	nodedup
orthoreovirus3	23570	20591	0	D	p8	1000	nodedup
InfluenzaB	14261	0	0	E	control	0	nodedup
Zikavirus	10808	2	0	E	control	0	nodedup
adenovirusF	34214	4	0	E	control	0	nodedup
herpesvirus5	235646	31	0	E	control	0	nodedup
orthopneumovirusA	15222	8	0	E	control	0	nodedup
orthoreovirus3	23570	40	0	E	control	0	nodedup
InfluenzaB	14261	264686	0	F	p6	100000	nodedup
Zikavirus	10808	89814	0	F	p6	100000	nodedup
adenovirusF	34214	65086	0	F	p6	100000	nodedup
herpesvirus5	235646	408984	0	F	p6	100000	nodedup
orthopneumovirusA	15222	223821	0	F	p6	100000	nodedup
orthoreovirus3	23570	223382	0	F	p6	100000	nodedup
InfluenzaB	14261	571	0	G	p2	100	nodedup
Zikavirus	10808	265	0	G	p2	100	nodedup
adenovirusF	34214	262	0	G	p2	100	nodedup
herpesvirus5	235646	3125	0	G	p2	100	nodedup
orthopneumovirusA	15222	460	0	G	p2	100	nodedup
orthoreovirus3	23570	1212	0	G	p2	100	nodedup
InfluenzaB	14261	3684	0	H	p8	100	nodedup
Zikavirus	10808	1913	0	H	p8	100	nodedup
adenovirusF	34214	2812	0	H	p8	100	nodedup
herpesvirus5	235646	19945	0	H	p8	100	nodedup
orthopneumovirusA	15222	3661	0	H	p8	100	nodedup
orthoreovirus3	23570	14984	0	H	p8	100	nodedup
InfluenzaB	14261	309632	0	I	p6	100	nodedup
Zikavirus	10808	122804	0	I	p6	100	nodedup
adenovirusF	34214	151489	0	I	p6	100	nodedup
herpesvirus5	235646	2053906	0	I	p6	100	nodedup
orthopneumovirusA	15222	263712	0	I	p6	100	nodedup
orthoreovirus3	23570	684851	0	I	p6	100	nodedup
InfluenzaB	14261	10665	0	J	p8	1000	nodedup
Zikavirus	10808	5167	0	J	p8	1000	nodedup
adenovirusF	34214	5650	0	J	p8	1000	nodedup
herpesvirus5	235646	61705	0	J	p8	1000	nodedup
orthopneumovirusA	15222	8907	0	J	p8	1000	nodedup
orthoreovirus3	23570	26565	0	J	p8	1000	nodedup
InfluenzaB	14261	1482871	0	K	p8	100000	nodedup
Zikavirus	10808	670272	0	K	p8	100000	nodedup
adenovirusF	34214	1482523	0	K	p8	100000	nodedup
herpesvirus5	235646	11903715	0	K	p8	100000	nodedup
orthopneumovirusA	15222	1240215	0	K	p8	100000	nodedup
orthoreovirus3	23570	4613723	0	K	p8	100000	nodedup
InfluenzaB	14261	135404	0	L	p2	100000	nodedup
Zikavirus	10808	51178	0	L	p2	100000	nodedup
adenovirusF	34214	77524	0	L	p2	100000	nodedup
herpesvirus5	235646	704709	0	L	p2	100000	nodedup
orthopneumovirusA	15222	119440	0	L	p2	100000	nodedup
orthoreovirus3	23570	372486	0	L	p2	100000	nodedup
InfluenzaB	14261	19482	0	M	p2	1000	nodedup
Zikavirus	10808	9790	0	M	p2	1000	nodedup
adenovirusF	34214	15628	0	M	p2	1000	nodedup
herpesvirus5	235646	114976	0	M	p2	1000	nodedup
orthopneumovirusA	15222	17980	0	M	p2	1000	nodedup
orthoreovirus3	23570	86441	0	M	p2	1000	nodedup
InfluenzaB	14261	936250	0	N	p2	100000	nodedup
Zikavirus	10808	423717	0	N	p2	100000	nodedup
adenovirusF	34214	866864	0	N	p2	100000	nodedup
herpesvirus5	235646	6255110	0	N	p2	100000	nodedup
orthopneumovirusA	15222	817068	0	N	p2	100000	nodedup
orthoreovirus3	23570	3484041	0	N	p2	100000	nodedup
InfluenzaB	14261	1328	0	O	p8	100	nodedup
Zikavirus	10808	767	0	O	p8	100	nodedup
adenovirusF	34214	869	0	O	p8	100	nodedup
herpesvirus5	235646	8058	0	O	p8	100	nodedup
orthopneumovirusA	15222	1299	0	O	p8	100	nodedup
orthoreovirus3	23570	3640	0	O	p8	100	nodedup
InfluenzaB	14261	25246	0	P	p2	1000	nodedup
Zikavirus	10808	11331	0	P	p2	1000	nodedup
adenovirusF	34214	21058	0	P	p2	1000	nodedup
herpesvirus5	235646	134231	0	P	p2	1000	nodedup
orthopneumovirusA	15222	23547	0	P	p2	1000	nodedup
orthoreovirus3	23570	114461	0	P	p2	1000	nodedup
