virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
B/Florida/4/2006	A	p6	1000	34.92784517214782	30	0	111	20	46	bowtie2	dedup_TE
Zikavirus_MR-766	A	p6	1000	31.38030905894328	30	0	79	25	37	bowtie2	dedup_TE
adenovirusF	A	p6	1000	2.582948500613784	2	0	11	1	4	bowtie2	dedup_TE
herpesvirus5	A	p6	1000	2.7533588518370777	2	0	23	1	4	bowtie2	dedup_TE
orthopneumovirusA	A	p6	1000	33.54316121403232	13	0	228	2	50	bowtie2	dedup_TE
orthoreovirus3	A	p6	1000	18.09940602460755	10	0	108	5	24	bowtie2	dedup_TE
B/Florida/4/2006	B	p2	100	5.937802398148798	5	0	22	2	9	bowtie2	dedup_TE
Zikavirus_MR-766	B	p2	100	5.384102896270935	5	0	18	3	8	bowtie2	dedup_TE
adenovirusF	B	p2	100	1.1785818670719588	1	0	9	0	2	bowtie2	dedup_TE
herpesvirus5	B	p2	100	1.8945918878317474	1	0	14	0	3	bowtie2	dedup_TE
orthopneumovirusA	B	p2	100	5.2038496912363685	4	0	27	1	8	bowtie2	dedup_TE
orthoreovirus3	B	p2	100	7.926771319473907	7	0	30	4	11	bowtie2	dedup_TE
B/Florida/4/2006	C	p8	100000	10984.82771194166	11063	43	20592	8000	14407	bowtie2	dedup_TE
Zikavirus_MR-766	C	p8	100000	13594.106319977793	13632	9	18314	12411	15375	bowtie2	dedup_TE
adenovirusF	C	p8	100000	3581.3304787513885	3435	59	9200	2646	4286	bowtie2	dedup_TE
herpesvirus5	C	p8	100000	4847.213218132283	4965	0	15243	3877	6219	bowtie2	dedup_TE
orthopneumovirusA	C	p8	100000	8689.632768361582	6719.5	10	19586	4133.25	12671	bowtie2	dedup_TE
orthoreovirus3	C	p8	100000	18346.887271955875	18986	25	32387	14426.5	23170.75	bowtie2	dedup_TE
B/Florida/4/2006	D	p8	1000	63.83290091858916	60	0	176	40	84	bowtie2	dedup_TE
Zikavirus_MR-766	D	p8	1000	67.0618117886555	69	0	103	54	82	bowtie2	dedup_TE
adenovirusF	D	p8	1000	16.2305196703104	15	1	53	12	20	bowtie2	dedup_TE
herpesvirus5	D	p8	1000	18.175165290308346	18	0	74	12	24	bowtie2	dedup_TE
orthopneumovirusA	D	p8	1000	54.95979503350414	38	0	271	20	83	bowtie2	dedup_TE
orthoreovirus3	D	p8	1000	125.28268985999152	127	0	266	95	158	bowtie2	dedup_TE
Zikavirus_MR-766	E	control	0	0.042379938928472284	0	0	2	0	0	bowtie2	dedup_TE
adenovirusF	E	control	0	0.0174197696849243	0	0	2	0	0	bowtie2	dedup_TE
herpesvirus5	E	control	0	0.015981599517920952	0	0	2	0	0	bowtie2	dedup_TE
orthopneumovirusA	E	control	0	0.07055577453685455	0	0	4	0	0	bowtie2	dedup_TE
orthoreovirus3	E	control	0	0.2752470992694456	0	0	3	0	0	bowtie2	dedup_TE
B/Florida/4/2006	F	p6	100000	2513.559357688802	2347	2	6284	1572	3364	bowtie2	dedup_TE
Zikavirus_MR-766	F	p6	100000	2227.0570926251503	2199	0	4732	1985	2411	bowtie2	dedup_TE
adenovirusF	F	p6	100000	266.54103583328464	252	6	638	229	287	bowtie2	dedup_TE
herpesvirus5	F	p6	100000	232.99133021566246	255	0	1513	218	285	bowtie2	dedup_TE
orthopneumovirusA	F	p6	100000	1985.5791617395876	1151	0	9613	227	3390.75	bowtie2	dedup_TE
orthoreovirus3	F	p6	100000	1298.4039032668645	791	0	5967	478	1686	bowtie2	dedup_TE
B/Florida/4/2006	G	p2	100	5.7223897342402354	5	0	20	3	8	bowtie2	dedup_TE
Zikavirus_MR-766	G	p2	100	6.094198204867216	6	0	19	3	8	bowtie2	dedup_TE
adenovirusF	G	p2	100	1.0679546384520957	1	0	9	0	2	bowtie2	dedup_TE
herpesvirus5	G	p2	100	1.8076436688931703	1	0	15	0	3	bowtie2	dedup_TE
orthopneumovirusA	G	p2	100	4.249572986466956	3	0	29	1	6	bowtie2	dedup_TE
orthoreovirus3	G	p2	100	7.294017819261773	7	0	24	4	10	bowtie2	dedup_TE
B/Florida/4/2006	H	p8	100	35.27122922656195	34	0	125	20	48	bowtie2	dedup_TE
Zikavirus_MR-766	H	p8	100	43.29545664846859	43	0	86	36	51	bowtie2	dedup_TE
adenovirusF	H	p8	100	11.34266674460747	10	0	39	8	14	bowtie2	dedup_TE
herpesvirus5	H	p8	100	11.071475857854578	10	0	72	6	15	bowtie2	dedup_TE
orthopneumovirusA	H	p8	100	32.32453028511365	23	0	186	9	49	bowtie2	dedup_TE
orthoreovirus3	H	p8	100	87.52036487059821	89	0	175	69	110	bowtie2	dedup_TE
B/Florida/4/2006	I	p6	100	3065.9110160577798	2827	28	6626	1996	4317	bowtie2	dedup_TE
Zikavirus_MR-766	I	p6	100	3459.7279541038215	3397	0	5358	3004	3941	bowtie2	dedup_TE
adenovirusF	I	p6	100	622.1220552990004	539	18	2723	391	735	bowtie2	dedup_TE
herpesvirus5	I	p6	100	1185.9568505300324	1070	0	4864	783	1465	bowtie2	dedup_TE
orthopneumovirusA	I	p6	100	2451.8814873209826	2074	2	9031	871	3618.75	bowtie2	dedup_TE
orthoreovirus3	I	p6	100	4102.028256257955	4129	1	9409	2675.25	5454	bowtie2	dedup_TE
B/Florida/4/2006	J	p8	1000	104.11563003996915	101	1	247	68	137	bowtie2	dedup_TE
Zikavirus_MR-766	J	p8	1000	124.24826501341722	126	0	214	105	145	bowtie2	dedup_TE
adenovirusF	J	p8	1000	22.84564798035892	21	0	84	15	28	bowtie2	dedup_TE
herpesvirus5	J	p8	1000	35.148341155801496	33	0	144	23	45	bowtie2	dedup_TE
orthopneumovirusA	J	p8	1000	81.64367363027198	64	0	259	30	129	bowtie2	dedup_TE
orthoreovirus3	J	p8	1000	157.13962664403903	155	0	346	106	205	bowtie2	dedup_TE
B/Florida/4/2006	K	p8	100000	14850.006801767056	15502	66	28593	10950	19132	bowtie2	dedup_TE
Zikavirus_MR-766	K	p8	100000	19258.38502822245	19426	21	25496	17718	21568.5	bowtie2	dedup_TE
adenovirusF	K	p8	100000	6179.396358215935	6179.5	97	13484	4937	7209.75	bowtie2	dedup_TE
herpesvirus5	K	p8	100000	6986.478942990757	7350	0	21538	5858	8898	bowtie2	dedup_TE
orthopneumovirusA	K	p8	100000	11619.270332413611	8936.5	13	28861	5608	16868.5	bowtie2	dedup_TE
orthoreovirus3	K	p8	100000	27844.323165040307	28906	42	45448	23397	34062.75	bowtie2	dedup_TE
B/Florida/4/2006	L	p2	100000	1326.843419115069	1289	3	3066	905	1786	bowtie2	dedup_TE
Zikavirus_MR-766	L	p2	100000	1361.9340242435458	1370	2	2318	1181	1572	bowtie2	dedup_TE
adenovirusF	L	p2	100000	317.88417022271585	308	2	807	237	376	bowtie2	dedup_TE
herpesvirus5	L	p2	100000	403.0250757492171	391	0	1979	294	511	bowtie2	dedup_TE
orthopneumovirusA	L	p2	100000	1097.3169097359084	879	0	3178	472	1638	bowtie2	dedup_TE
orthoreovirus3	L	p2	100000	2214.4985999151463	2224	0	5289	1653	2804	bowtie2	dedup_TE
B/Florida/4/2006	M	p2	1000	190.37886543720637	186	0	467	126	250	bowtie2	dedup_TE
Zikavirus_MR-766	M	p2	1000	246.97945775886	242	0	411	210	287	bowtie2	dedup_TE
adenovirusF	M	p2	1000	64.2270707897352	64	2	142	52	75	bowtie2	dedup_TE
herpesvirus5	M	p2	1000	65.31691180839054	67	0	269	51	83	bowtie2	dedup_TE
orthopneumovirusA	M	p2	1000	164.53488372093022	119	0	668	56	258	bowtie2	dedup_TE
orthoreovirus3	M	p2	1000	515.673398387781	519	0	868	434	635	bowtie2	dedup_TE
B/Florida/4/2006	N	p2	100000	9326.441694130846	9565	27	20156	6165	12146	bowtie2	dedup_TE
Zikavirus_MR-766	N	p2	100000	11747.025539002498	11725	12	16800	10710.5	13437	bowtie2	dedup_TE
adenovirusF	N	p2	100000	3612.849973694979	3622	63	6844	2934	4224	bowtie2	dedup_TE
herpesvirus5	N	p2	100000	3666.6448358979146	3788	0	12074	3044	4648	bowtie2	dedup_TE
orthopneumovirusA	N	p2	100000	7611.111680462488	5846.5	3	22001	3414	11269.75	bowtie2	dedup_TE
orthoreovirus3	N	p2	100000	21042.237844717863	22167	28	32934	18400	25527	bowtie2	dedup_TE
B/Florida/4/2006	O	p8	100	13.102797840263657	12	0	43	8	17	bowtie2	dedup_TE
Zikavirus_MR-766	O	p8	100	16.952438234477654	17	0	35	13	21	bowtie2	dedup_TE
adenovirusF	O	p8	100	3.5818086163558776	3	0	20	2	5	bowtie2	dedup_TE
herpesvirus5	O	p8	100	4.607606324741349	4	0	26	2	7	bowtie2	dedup_TE
orthopneumovirusA	O	p8	100	12.01412429378531	9	0	44	4	19	bowtie2	dedup_TE
orthoreovirus3	O	p8	100	21.394569367840475	20	0	56	12	30	bowtie2	dedup_TE
B/Florida/4/2006	P	p2	1000	239.75562723511675	233	0	657	169	308	bowtie2	dedup_TE
Zikavirus_MR-766	P	p2	1000	274.2466919589155	271	0	528	239	309	bowtie2	dedup_TE
adenovirusF	P	p2	1000	84.82097971590576	82	1	170	71	96	bowtie2	dedup_TE
herpesvirus5	P	p2	1000	74.06922672143808	75	0	284	57	95	bowtie2	dedup_TE
orthopneumovirusA	P	p2	1000	208.16791486007097	162	0	857	78	314	bowtie2	dedup_TE
orthoreovirus3	P	p2	1000	664.5699618158676	691	0	1043	587	790	bowtie2	dedup_TE
