virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Human_adenovirus_40	A	p6	1000	2.5705687369155616	2	0	11	1	4	bowtie2	dedup_TE
Human_betaherpesvirus	A	p6	1000	3.308470062828532	3	0	30	2	5	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	A	p6	1000	33.24599422117152	13	0	196	2	50	bowtie2	dedup_TE
Influenza_B_virus	A	p6	1000	34.87643004824259	29	0	117	19	47	bowtie2	dedup_TE
Mammalian_orthoreovirus3	A	p6	1000	18.139434574649812	10	0	108	5	24	bowtie2	dedup_TE
Zika_virus	A	p6	1000	30.97772096420745	29	0	81	24	37	bowtie2	dedup_TE
Human_adenovirus_40	B	p2	100	1.1634100953710165	1	0	9	0	2	bowtie2	dedup_TE
Human_betaherpesvirus	B	p2	100	2.263093900685613	2	0	25	1	3	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	B	p2	100	5.202258996585238	4	0	27	1	8	bowtie2	dedup_TE
Influenza_B_virus	B	p2	100	5.87684355616816	5	0	22	2	9	bowtie2	dedup_TE
Mammalian_orthoreovirus3	B	p2	100	7.952724632729757	7	0	30	4	11	bowtie2	dedup_TE
Zika_virus	B	p2	100	5.31291088385683	5	0	18	3	8	bowtie2	dedup_TE
Human_adenovirus_40	C	p8	100000	3536.8632240055827	3412	144	9200	2585	4271	bowtie2	dedup_TE
Human_betaherpesvirus	C	p8	100000	5778.263990790695	5361	167	24834	4513	6593	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	C	p8	100000	8690.19549514053	6715.5	1	19588	4133	12677.5	bowtie2	dedup_TE
Influenza_B_virus	C	p8	100000	10972.258304617506	11044	9	20622	7949	14477	bowtie2	dedup_TE
Mammalian_orthoreovirus3	C	p8	100000	18262.32511957636	18926	0	32300	14368.75	23131	bowtie2	dedup_TE
Zika_virus	C	p8	100000	13431.7753834916	13609	0	18317	12375	15358	bowtie2	dedup_TE
Human_adenovirus_40	D	p8	1000	16.092666899278903	15	0	53	11	20	bowtie2	dedup_TE
Human_betaherpesvirus	D	p8	1000	21.649487062130433	20	0	136	15	26	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	D	p8	1000	54.95429472025217	38	0	269	20	83	bowtie2	dedup_TE
Influenza_B_virus	D	p8	1000	63.239145416953825	59	0	176	40	84	bowtie2	dedup_TE
Mammalian_orthoreovirus3	D	p8	1000	125.13584728390843	127	0	266	95	158	bowtie2	dedup_TE
Zika_virus	D	p8	1000	66.15896639883127	68	0	103	54	82	bowtie2	dedup_TE
Human_adenovirus_40	E	control	0	0.017329611537566878	0	0	2	0	0	bowtie2	dedup_TE
Human_betaherpesvirus	E	control	0	0.018978061286436105	0	0	2	0	0	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	E	control	0	0.07052797478329394	0	0	4	0	0	bowtie2	dedup_TE
Mammalian_orthoreovirus3	E	control	0	0.2780249593054802	0	0	3	0	0	bowtie2	dedup_TE
Zika_virus	E	control	0	0.041818845872899926	0	0	2	0	0	bowtie2	dedup_TE
Human_adenovirus_40	F	p6	100000	262.7776517794836	251	9	630	228	286	bowtie2	dedup_TE
Human_betaherpesvirus	F	p6	100000	274.59007965677773	265	9	1722	239	293	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	F	p6	100000	1997.6417126346205	1161.5	0	9689	228	3394	bowtie2	dedup_TE
Influenza_B_virus	F	p6	100000	2531.643211578222	2346	0	6455	1556	3404.75	bowtie2	dedup_TE
Mammalian_orthoreovirus3	F	p6	100000	1295.9303040655961	792	0	5779	483	1697.25	bowtie2	dedup_TE
Zika_virus	F	p6	100000	2210.610573411249	2196	0	4789	1977.75	2412	bowtie2	dedup_TE
Human_adenovirus_40	G	p2	100	1.0624273086764364	1	0	9	0	2	bowtie2	dedup_TE
Human_betaherpesvirus	G	p2	100	2.1556520251683984	2	0	16	1	3	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	G	p2	100	4.247176254268453	3	0	29	1	6	bowtie2	dedup_TE
Influenza_B_virus	G	p2	100	5.6627153687112335	5	0	20	3	8	bowtie2	dedup_TE
Mammalian_orthoreovirus3	G	p2	100	7.303809361120601	7	0	24	4	10	bowtie2	dedup_TE
Zika_virus	G	p2	100	6.023374726077429	6	0	19	3	8	bowtie2	dedup_TE
Human_adenovirus_40	H	p8	100	11.260351244475459	10	0	39	7	14	bowtie2	dedup_TE
Human_betaherpesvirus	H	p8	100	13.117215202747994	12	0	90	8	17	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	H	p8	100	32.396637772524294	23	0	187	9	49	bowtie2	dedup_TE
Influenza_B_virus	H	p8	100	35.34017918676775	34	0	126	19	48	bowtie2	dedup_TE
Mammalian_orthoreovirus3	H	p8	100	87.8418175606423	89	0	175	70	110	bowtie2	dedup_TE
Zika_virus	H	p8	100	42.787527392257125	43	0	86	35	51	bowtie2	dedup_TE
Human_adenovirus_40	I	p6	100	612.9343451965574	533	21	2723	379	730	bowtie2	dedup_TE
Human_betaherpesvirus	I	p6	100	1429.8652584568872	1179	40	10562	931	1617	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	I	p6	100	2454.9959942211713	2077.5	0	9032	871	3620.25	bowtie2	dedup_TE
Influenza_B_virus	I	p6	100	3083.9026188835287	2842	2	6757	1986	4363	bowtie2	dedup_TE
Mammalian_orthoreovirus3	I	p6	100	4085.011573283225	4099	0	9392	2661	5448	bowtie2	dedup_TE
Zika_virus	I	p6	100	3416.2410518626734	3387	0	5357	2988	3934	bowtie2	dedup_TE
Human_adenovirus_40	J	p8	1000	22.58810188415911	20	0	84	14	28	bowtie2	dedup_TE
Human_betaherpesvirus	J	p8	1000	42.15839354978895	37	0	338	29	49	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	J	p8	1000	81.75013133701077	64	0	260	30	129	bowtie2	dedup_TE
Influenza_B_virus	J	p8	1000	103.38621640248105	100	0	247	67	138	bowtie2	dedup_TE
Mammalian_orthoreovirus3	J	p8	1000	156.97096002733173	154	0	346	106	204	bowtie2	dedup_TE
Zika_virus	J	p8	1000	122.69968955441928	126	0	214	104	145	bowtie2	dedup_TE
Human_adenovirus_40	K	p8	100000	6104.347057455222	6136	227	13484	4873	7191	bowtie2	dedup_TE
Human_betaherpesvirus	K	p8	100000	8325.139258355177	7842	245	31989	6685	9374	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	K	p8	100000	11625.782374573155	8944.5	0	28953	5604	16919.25	bowtie2	dedup_TE
Influenza_B_virus	K	p8	100000	14859.045485871813	15503	20	28611	10858.75	19284.5	bowtie2	dedup_TE
Mammalian_orthoreovirus3	K	p8	100000	27679.683464297916	28778.5	0	45322	23286	33969	bowtie2	dedup_TE
Zika_virus	K	p8	100000	19032.86915631848	19364	0	25479	17664	21530.75	bowtie2	dedup_TE
Human_adenovirus_40	L	p2	100000	314.23679925564085	306	13	807	234	375	bowtie2	dedup_TE
Human_betaherpesvirus	L	p2	100000	485.07759947850934	432	16	3238	346	556	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	L	p2	100000	1097.2683871815077	876.5	0	3165	471	1639	bowtie2	dedup_TE
Influenza_B_virus	L	p2	100000	1321.2959338387318	1286	0	3071	890.25	1797	bowtie2	dedup_TE
Mammalian_orthoreovirus3	L	p2	100000	2210.0668773488214	2223	0	5282	1651	2810	bowtie2	dedup_TE
Zika_virus	L	p2	100000	1345.3555514974435	1365	0	2317	1174	1570	bowtie2	dedup_TE
Human_adenovirus_40	M	p2	1000	63.64436496859735	64	0	142	51	75	bowtie2	dedup_TE
Human_betaherpesvirus	M	p2	1000	78.0749365473433	73	3	524	60	88	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	M	p2	1000	164.6159049120042	119	0	667	56	259	bowtie2	dedup_TE
Influenza_B_virus	M	p2	1000	188.55223983459683	185	0	467	121	251	bowtie2	dedup_TE
Mammalian_orthoreovirus3	M	p2	1000	515.2165613255894	519	0	870	432	636	bowtie2	dedup_TE
Zika_virus	M	p2	1000	244.37792184075968	242	0	410	209	287	bowtie2	dedup_TE
Human_adenovirus_40	N	p2	100000	3568.344033496162	3597	143	6840	2893	4209.25	bowtie2	dedup_TE
Human_betaherpesvirus	N	p2	100000	4380.881744589765	4095	178	20357	3472	4894	bowtie2	dedup_TE
Human_respiratory_syncytial_virus	N	p2	100000	7617.670541108485	5846.5	5	22026	3415	11282	bowtie2	dedup_TE
Influenza_B_virus	N	p2	100000	9326.091247415576	9566.5	5	20175	6134.25	12268.75	bowtie2	dedup_TE
Mammalian_orthoreovirus3	N	p2	100000	20954.67957806628	22099	0	32823	18350.75	25540.25	bowtie2	dedup_TE
Zika_virus	N	p2	100000	11615.100986121257	11710	0	16810	10668.75	13426.5	bowtie2	dedup_TE
Human_adenovirus_40	O	p8	100	3.5544312630844384	3	0	20	1	5	bowtie2	dedup_TE
