virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
B/Florida/4/2006	A	p6	1000	518.6374027066826	418	0	2485	259	683	bowtie2	nodedup_TE
Zikavirus_MR-766	A	p6	1000	387.0292403072083	362	0	1343	277	456	bowtie2	nodedup_TE
adenovirusF	A	p6	1000	16.4485590693868	12	0	127	4	22	bowtie2	nodedup_TE
herpesvirus5	A	p6	1000	42.79301579487876	32	0	513	4	64	bowtie2	nodedup_TE
orthopneumovirusA	A	p6	1000	432.4145972933912	166.5	0	2631	34	638	bowtie2	nodedup_TE
orthoreovirus3	A	p6	1000	147.46767076792534	78	0	1193	36	176	bowtie2	nodedup_TE
B/Florida/4/2006	B	p2	100	8.42465465254891	7	0	38	2	13	bowtie2	nodedup_TE
Zikavirus_MR-766	B	p2	100	6.868418617562691	6	0	27	3	10	bowtie2	nodedup_TE
adenovirusF	B	p2	100	1.5226515461506984	1	0	13	0	2	bowtie2	nodedup_TE
herpesvirus5	B	p2	100	2.960580701560816	2	0	28	0	4	bowtie2	nodedup_TE
orthopneumovirusA	B	p2	100	7.733477860990671	5	0	57	2	11	bowtie2	nodedup_TE
orthoreovirus3	B	p2	100	9.48124734832414	8	0	38	5	13	bowtie2	nodedup_TE
B/Florida/4/2006	C	p8	100000	33630.30369539303	29795	250	90542	21191	44988	bowtie2	nodedup_TE
Zikavirus_MR-766	C	p8	100000	34563.78671231609	34092	23	57170	29320	39449	bowtie2	nodedup_TE
adenovirusF	C	p8	100000	6244.3984918454435	5269.5	140	28850	3803	7341	bowtie2	nodedup_TE
herpesvirus5	C	p8	100000	13239.47093946004	11447	0	64448	8154	16038	bowtie2	nodedup_TE
orthopneumovirusA	C	p8	100000	25951.059781894626	21555.5	31	108693	9780.5	37611.75	bowtie2	nodedup_TE
orthoreovirus3	C	p8	100000	42520.506745863386	40063.5	38	110535	26202.75	57228	bowtie2	nodedup_TE
B/Florida/4/2006	D	p8	1000	242.79131898183857	218	0	806	143	319	bowtie2	nodedup_TE
Zikavirus_MR-766	D	p8	1000	220.1542518737855	218	0	436	180	261	bowtie2	nodedup_TE
adenovirusF	D	p8	1000	37.96685567311627	32	1	261	21	47	bowtie2	nodedup_TE
herpesvirus5	D	p8	1000	76.29833309285962	67	0	438	41	97	bowtie2	nodedup_TE
orthopneumovirusA	D	p8	1000	215.32466167389305	176	0	819	82	312	bowtie2	nodedup_TE
orthoreovirus3	D	p8	1000	258.36211285532454	240	0	759	155	349	bowtie2	nodedup_TE
Zikavirus_MR-766	E	control	0	0.2846303321920977	0	0	22	0	0	bowtie2	nodedup_TE
adenovirusF	E	control	0	0.6559595487227451	0	0	114	0	0	bowtie2	nodedup_TE
herpesvirus5	E	control	0	0.5636038803968665	0	0	186	0	0	bowtie2	nodedup_TE
orthopneumovirusA	E	control	0	2.790434896859808	0	0	201	0	0	bowtie2	nodedup_TE
orthoreovirus3	E	control	0	4.798775247099269	0	0	103	0	0	bowtie2	nodedup_TE
B/Florida/4/2006	F	p6	100000	46287.82210223687	34857	162	188841	23643	63582	bowtie2	nodedup_TE
Zikavirus_MR-766	F	p6	100000	33292.50744887573	31497	0	98522	26820.5	37534	bowtie2	nodedup_TE
adenovirusF	F	p6	100000	2083.7875431110074	1669	105	8683	1191	2402	bowtie2	nodedup_TE
herpesvirus5	F	p6	100000	4076.579848586439	3621	0	27307	2647	4872	bowtie2	nodedup_TE
orthopneumovirusA	F	p6	100000	35155.437196163446	18416.5	0	226255	3168	54118.75	bowtie2	nodedup_TE
orthoreovirus3	F	p6	100000	12549.05583368689	7166	0	94337	3756.25	15838.25	bowtie2	nodedup_TE
B/Florida/4/2006	G	p2	100	8.130986606829815	7	0	40	3	12	bowtie2	nodedup_TE
Zikavirus_MR-766	G	p2	100	7.939113537521976	7	0	26	4	11	bowtie2	nodedup_TE
adenovirusF	G	p2	100	1.192815806395043	1	0	14	0	2	bowtie2	nodedup_TE
herpesvirus5	G	p2	100	2.685753206080307	2	0	32	0	4	bowtie2	nodedup_TE
orthopneumovirusA	G	p2	100	6.149454736565498	4	0	45	2	8	bowtie2	nodedup_TE
orthoreovirus3	G	p2	100	8.264955451845566	7	0	30	4	12	bowtie2	nodedup_TE
B/Florida/4/2006	H	p8	100	533.4644835565529	434	0	1854	256	778	bowtie2	nodedup_TE
Zikavirus_MR-766	H	p8	100	569.443878967336	549	0	1254	427	697	bowtie2	nodedup_TE
adenovirusF	H	p8	100	79.69562167533758	65	0	504	39	99	bowtie2	nodedup_TE
herpesvirus5	H	p8	100	167.28336572655593	135	0	1277	70	219	bowtie2	nodedup_TE
orthopneumovirusA	H	p8	100	452.86966233083695	321	0	1750	138	675	bowtie2	nodedup_TE
orthoreovirus3	H	p8	100	737.9509546033092	667	0	2557	444	951	bowtie2	nodedup_TE
B/Florida/4/2006	I	p6	100	4293.809550522404	3729	38	12956	2619	5858	bowtie2	nodedup_TE
Zikavirus_MR-766	I	p6	100	4275.8648098454705	4156	0	6857	3645	4925	bowtie2	nodedup_TE
adenovirusF	I	p6	100	708.5808440989068	607	21	3292	436	831	bowtie2	nodedup_TE
herpesvirus5	I	p6	100	1427.7704395576416	1249	0	6742	905	1734	bowtie2	nodedup_TE
orthopneumovirusA	I	p6	100	3306.044540796216	2671.5	2	14245	1020	4747.5	bowtie2	nodedup_TE
orthoreovirus3	I	p6	100	5278.428977513789	5301.5	2	18330	3254.25	6993	bowtie2	nodedup_TE
B/Florida/4/2006	J	p8	1000	166.83142837108198	148	1	465	99	226	bowtie2	nodedup_TE
Zikavirus_MR-766	J	p8	1000	176.49727028777644	177	0	302	149	206	bowtie2	nodedup_TE
adenovirusF	J	p8	1000	29.359063541240427	24	0	151	17	35	bowtie2	nodedup_TE
herpesvirus5	J	p8	1000	58.26755811683627	49	0	327	32	72	bowtie2	nodedup_TE
orthopneumovirusA	J	p8	1000	131.49559847589015	109	0	577	44	198	bowtie2	nodedup_TE
orthoreovirus3	J	p8	1000	197.43067458633857	190	0	479	123	269	bowtie2	nodedup_TE
B/Florida/4/2006	K	p8	100000	70994.71678002946	62937	569	197257	45302	95693	bowtie2	nodedup_TE
Zikavirus_MR-766	K	p8	100000	75382.70047191635	74159	65	118190	64753.5	86127.5	bowtie2	nodedup_TE
adenovirusF	K	p8	100000	14482.716987198222	12331	385	70226	8975	16859.75	bowtie2	nodedup_TE
herpesvirus5	K	p8	100000	29831.859259227826	26197	0	141677	18906	36331	bowtie2	nodedup_TE
orthopneumovirusA	K	p8	100000	54418.863092891865	46270	52	236590	19943	77740.75	bowtie2	nodedup_TE
orthoreovirus3	K	p8	100000	90701.47844717861	85484.5	91	225743	56266	122383.75	bowtie2	nodedup_TE
B/Florida/4/2006	L	p2	100000	3700.1368066755485	3186	18	11675	2136	5062	bowtie2	nodedup_TE
Zikavirus_MR-766	L	p2	100000	3043.3179420745814	3027	10	5644	2539.5	3525	bowtie2	nodedup_TE
adenovirusF	L	p2	100000	571.7352253463495	499	2	2103	359	678	bowtie2	nodedup_TE
herpesvirus5	L	p2	100000	1105.8284842518015	924	0	5708	654	1345	bowtie2	nodedup_TE
orthopneumovirusA	L	p2	100000	3072.9856786230457	2546	0	12213	1244	4401	bowtie2	nodedup_TE
orthoreovirus3	L	p2	100000	3987.4553669919387	3709	0	13697	2488	5314.75	bowtie2	nodedup_TE
B/Florida/4/2006	M	p2	1000	1287.2960521702546	1132	0	3879	717	1794	bowtie2	nodedup_TE
Zikavirus_MR-766	M	p2	1000	1494.4304617377625	1461	0	2603	1219	1796	bowtie2	nodedup_TE
adenovirusF	M	p2	1000	227.23876191032912	195	2	1245	137	270	bowtie2	nodedup_TE
herpesvirus5	M	p2	1000	450.1182154587814	391	0	2207	268	549	bowtie2	nodedup_TE
orthopneumovirusA	M	p2	1000	1081.9903429247142	796	0	4467	328	1665	bowtie2	nodedup_TE
orthoreovirus3	M	p2	1000	2156.2932541366145	2086	0	5555	1325	2837.75	bowtie2	nodedup_TE
B/Florida/4/2006	N	p2	100000	62809.661664679894	53965	350	195475	36834	86946	bowtie2	nodedup_TE
Zikavirus_MR-766	N	p2	100000	66602.04608124364	65352	51	114717	55141	78245	bowtie2	nodedup_TE
adenovirusF	N	p2	100000	11241.153913602619	9725.5	293	49982	6863	13340	bowtie2	nodedup_TE
herpesvirus5	N	p2	100000	20895.490634256468	17919	0	97169	12728	25625.75	bowtie2	nodedup_TE
orthopneumovirusA	N	p2	100000	49194.87268427276	39862.5	24	208602	17323.5	71435.5	bowtie2	nodedup_TE
orthoreovirus3	N	p2	100000	105340.19422995333	102011	91	287525	67738.25	136820	bowtie2	nodedup_TE
B/Florida/4/2006	O	p8	100	21.06149638875254	19	0	95	12	28	bowtie2	nodedup_TE
Zikavirus_MR-766	O	p8	100	24.987045433515313	25	0	55	19	32	bowtie2	nodedup_TE
adenovirusF	O	p8	100	4.922984743087625	4	0	41	2	6	bowtie2	nodedup_TE
herpesvirus5	O	p8	100	7.992934316729331	6	0	74	2	11	bowtie2	nodedup_TE
orthopneumovirusA	O	p8	100	19.48199973722244	16	0	90	7	29	bowtie2	nodedup_TE
orthoreovirus3	O	p8	100	26.969070852778955	25	0	79	15	38	bowtie2	nodedup_TE
B/Florida/4/2006	P	p2	1000	4650.2612018792515	4156	0	14696	2748	6180	bowtie2	nodedup_TE
Zikavirus_MR-766	P	p2	1000	4799.425187378551	4792	0	9202	3941	5552	bowtie2	nodedup_TE
adenovirusF	P	p2	1000	783.0477874554276	645	17	3627	460	952	bowtie2	nodedup_TE
herpesvirus5	P	p2	1000	1513.613700211334	1291	0	9856	873	1873	bowtie2	nodedup_TE
orthopneumovirusA	P	p2	1000	3856.933188805676	3214	0	16927	1336	5525	bowtie2	nodedup_TE
orthoreovirus3	P	p2	1000	7485.060203648706	7259.5	0	21565	4727	9702.75	bowtie2	nodedup_TE
