virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Human_adenovirus_40	A	p6	1000	15.93184461502675	12	0	102	4	22	bowtie2	nodedup_TE
Human_betaherpesvirus	A	p6	1000	51.30367123895647	41	0	569	16	72	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	A	p6	1000	432.77180194378775	170	0	2633	34	639	bowtie2	nodedup_TE
Influenza_B_virus	A	p6	1000	513.4594073053067	416	0	2444	254	677	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	A	p6	1000	147.85727707550393	79	0	1195	37	177	bowtie2	nodedup_TE
Zika_virus	A	p6	1000	382.0599890430972	360	0	1343	274	454	bowtie2	nodedup_TE
Human_adenovirus_40	B	p2	100	1.5056989997673877	1	0	13	0	2	bowtie2	nodedup_TE
Human_betaherpesvirus	B	p2	100	3.5465666218221665	2	0	40	1	5	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	B	p2	100	7.731350144470712	5	0	57	2	11	bowtie2	nodedup_TE
Influenza_B_virus	B	p2	100	8.39448656099242	7	0	38	2	13	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	B	p2	100	9.517509395285275	8	0	38	5	13	bowtie2	nodedup_TE
Zika_virus	B	p2	100	6.777574872169467	6	0	27	3	10	bowtie2	nodedup_TE
Human_adenovirus_40	C	p8	100000	6178.891137473831	5247	213	28850	3695	7294.25	bowtie2	nodedup_TE
Human_betaherpesvirus	C	p8	100000	15907.577828324153	12554	518	171387	9769	17844	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	C	p8	100000	25944.5963356974	21532.5	1	108677	9767.75	37638.75	bowtie2	nodedup_TE
Influenza_B_virus	C	p8	100000	33318.68435561682	29517	36	90585	20650.25	44934.25	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	C	p8	100000	42575.71519473864	40074	0	110527	26202.75	57250.25	bowtie2	nodedup_TE
Zika_virus	C	p8	100000	34122.770818115416	33902.5	0	57165	29200.75	39347.25	bowtie2	nodedup_TE
Human_adenovirus_40	D	p8	1000	37.61171202605257	31	0	261	20	47	bowtie2	nodedup_TE
Human_betaherpesvirus	D	p8	1000	91.4050105638849	75	0	789	54	109	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	D	p8	1000	215.27114525873392	176	0	820	82	312	bowtie2	nodedup_TE
Influenza_B_virus	D	p8	1000	240.27794624396967	217	0	806	142	318	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	D	p8	1000	258.73966518619744	240	0	759	155	350	bowtie2	nodedup_TE
Zika_virus	D	p8	1000	217.28378378378378	218	0	439	179	261	bowtie2	nodedup_TE
Human_adenovirus_40	E	control	0	0.6525645498953245	0	0	114	0	0	bowtie2	nodedup_TE
Human_betaherpesvirus	E	control	0	0.7403592009040728	0	0	186	0	0	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	E	control	0	2.7893354347255057	0	0	201	0	0	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	E	control	0	4.847205642973413	0	0	103	0	0	bowtie2	nodedup_TE
Zika_virus	E	control	0	0.2808619430241052	0	0	22	0	0	bowtie2	nodedup_TE
Human_adenovirus_40	F	p6	100000	2042.6789078855547	1642	66	8437	1173	2375	bowtie2	nodedup_TE
Human_betaherpesvirus	F	p6	100000	4872.002621322868	3948	49	55278	3124	5295	bowtie2	nodedup_TE
Human_respiratory_syncytial_virus	F	p6	100000	35240.10651431574	18502.5	0	226836	3178	54161.25	bowtie2	nodedup_TE
Influenza_B_virus	F	p6	100000	45985.75671950379	34444.5	0	193948	23171.25	63417.5	bowtie2	nodedup_TE
Mammalian_orthoreovirus3	F	p6	100000	12567.643577041339	7204.5	0	95047	3783.75	15990.75	bowtie2	nodedup_TE
