virus	Sample_id	Background	Viral load	mean_depth	median_depth	min_coverage	max	LQ	UQ	dataset
InfluenzaB	A	p6	1000	34.92784517214782	30	0	111	20	46	dedup
Zikavirus	A	p6	1000	5.505524092470522	1	0	48	0	7	dedup
adenovirusF	A	p6	1000	2.582948500613784	2	0	11	1	4	dedup
herpesvirus5	A	p6	1000	2.8005041458224524	2	0	23	1	4	dedup
orthopneumovirusA	A	p6	1000	33.54316121403232	13	0	228	2	50	dedup
orthoreovirus3	A	p6	1000	18.09940602460755	10	0	108	5	24	dedup
InfluenzaB	B	p2	100	5.937802398148798	5	0	22	2	9	dedup
Zikavirus	B	p2	100	1.120726795916456	0	0	14	0	2	dedup
adenovirusF	B	p2	100	1.1785818670719588	1	0	9	0	2	dedup
herpesvirus5	B	p2	100	1.952629000796004	1	0	14	0	3	dedup
orthopneumovirusA	B	p2	100	5.2038496912363685	4	0	27	1	8	dedup
orthoreovirus3	B	p2	100	7.926771319473907	7	0	30	4	11	dedup
InfluenzaB	C	p8	100000	10984.82771194166	11063	43	20592	8000	14407	dedup
Zikavirus	C	p8	100000	1895.958549222798	320.5	0	11074	9	2899.5	dedup
adenovirusF	C	p8	100000	3581.3304787513885	3435	59	9200	2646	4286	dedup
herpesvirus5	C	p8	100000	4870.1953917129285	4974	0	15243	3899	6226	dedup
orthopneumovirusA	C	p8	100000	8689.632768361582	6719.5	10	19586	4133.25	12671	dedup
orthoreovirus3	C	p8	100000	18346.887271955875	18986	25	32387	14426.5	23170.75	dedup
InfluenzaB	D	p8	1000	63.83290091858916	60	0	176	40	84	dedup
Zikavirus	D	p8	1000	8.128778045614686	2	0	43	0	12	dedup
adenovirusF	D	p8	1000	16.2305196703104	15	1	53	12	20	dedup
herpesvirus5	D	p8	1000	18.313656655150005	18	0	74	13	24	dedup
orthopneumovirusA	D	p8	1000	54.95979503350414	38	0	271	20	83	dedup
orthoreovirus3	D	p8	1000	125.28268985999152	127	0	266	95	158	dedup
adenovirusF	E	control	0	0.0174197696849243	0	0	2	0	0	dedup
herpesvirus5	E	control	0	0.017758119883813046	0	0	2	0	0	dedup
orthopneumovirusA	E	control	0	0.07055577453685455	0	0	4	0	0	dedup
orthoreovirus3	E	control	0	0.2752470992694456	0	0	3	0	0	dedup
InfluenzaB	F	p6	100000	2513.559357688802	2347	2	6284	1572	3364	dedup
Zikavirus	F	p6	100000	352.04598980064907	50	0	2540	2	500	dedup
adenovirusF	F	p6	100000	266.54103583328464	252	6	638	229	287	dedup
herpesvirus5	F	p6	100000	234.4518912963643	256	0	1513	219	285	dedup
orthopneumovirusA	F	p6	100000	1985.5791617395876	1151	0	9613	227	3390.75	dedup
orthoreovirus3	F	p6	100000	1298.4039032668645	791	0	5967	478	1686	dedup
InfluenzaB	G	p2	100	5.7223897342402354	5	0	20	3	8	dedup
Zikavirus	G	p2	100	0.8271778968142092	0	0	7	0	1	dedup
adenovirusF	G	p2	100	1.0679546384520957	1	0	9	0	2	dedup
herpesvirus5	G	p2	100	1.855995677691748	1	0	15	0	3	dedup
orthopneumovirusA	G	p2	100	4.249572986466956	3	0	29	1	6	dedup
orthoreovirus3	G	p2	100	7.294017819261773	7	0	24	4	10	dedup
InfluenzaB	H	p8	100	35.27122922656195	34	0	125	20	48	dedup
Zikavirus	H	p8	100	6.405648026930989	1	0	48	0	11	dedup
adenovirusF	H	p8	100	11.34266674460747	10	0	39	8	14	dedup
