virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
B/Florida/4/2006	A	p6	1000	44.83900147254751	38	0	166	23	58	ngm	dedup_TE
Zikavirus_MR-766	A	p6	1000	34.9690015730545	33	0	93	26	41	ngm	dedup_TE
adenovirusF	A	p6	1000	2.663792599520664	2	0	11	1	4	ngm	dedup_TE
herpesvirus5	A	p6	1000	3.005550698929751	3	0	140	1	4	ngm	dedup_TE
orthopneumovirusA	A	p6	1000	41.50978846406517	15	0	269	3	59	ngm	dedup_TE
orthoreovirus3	A	p6	1000	22.330589732711072	12	0	234	6	29	ngm	dedup_TE
B/Florida/4/2006	B	p2	100	6.380127620783956	5	0	23	2	10	ngm	dedup_TE
Zikavirus_MR-766	B	p2	100	5.72656611455538	5	0	18	3	8	ngm	dedup_TE
adenovirusF	B	p2	100	1.2760858128251593	1	0	17	0	2	ngm	dedup_TE
herpesvirus5	B	p2	100	2.067537747298915	2	0	85	0	3	ngm	dedup_TE
orthopneumovirusA	B	p2	100	5.604848245959795	4	0	28	1	8	ngm	dedup_TE
orthoreovirus3	B	p2	100	8.585447602885024	8	0	31	4	12	ngm	dedup_TE
B/Florida/4/2006	C	p8	100000	12778.856321436084	12388	0	25060	9257	16642	ngm	dedup_TE
Zikavirus_MR-766	C	p8	100000	14783.550384010363	14830	6	20696	13460.5	16702	ngm	dedup_TE
adenovirusF	C	p8	100000	3880.0300169521247	3708	1	9991	2867	4630	ngm	dedup_TE
herpesvirus5	C	p8	100000	5455.333449326532	5451	0	17922	4317	6883	ngm	dedup_TE
orthopneumovirusA	C	p8	100000	9973.468072526606	8123.5	8	27462	4437	14515	ngm	dedup_TE
orthoreovirus3	C	p8	100000	20670.562664403904	21506	0	35420	16137.25	25638	ngm	dedup_TE
B/Florida/4/2006	D	p8	1000	75.65240866699389	70	0	215	45	100	ngm	dedup_TE
Zikavirus_MR-766	D	p8	1000	73.55834181548995	75	0	120	60	90	ngm	dedup_TE
adenovirusF	D	p8	1000	17.38595311860642	16	0	59	12	21	ngm	dedup_TE
herpesvirus5	D	p8	1000	20.23450429882112	20	0	88	14	26	ngm	dedup_TE
orthopneumovirusA	D	p8	1000	63.86782288792537	43	0	389	22	93	ngm	dedup_TE
orthoreovirus3	D	p8	1000	139.46593126856172	142	0	293	106	174	ngm	dedup_TE
B/Florida/4/2006	E	control	0	0.0175054704595186	0	0	1	0	0	ngm	dedup_TE
Zikavirus_MR-766	E	control	0	0.05700009253261775	0	0	2	0	0	ngm	dedup_TE
adenovirusF	E	control	0	0.033144326883731805	0	0	2	0	0	ngm	dedup_TE
herpesvirus5	E	control	0	0.028203321932050617	0	0	7	0	0	ngm	dedup_TE
orthopneumovirusA	E	control	0	0.06562869530942057	0	0	4	0	0	ngm	dedup_TE
orthoreovirus3	E	control	0	0.2644671757191567	0	0	5	0	0	ngm	dedup_TE
B/Florida/4/2006	F	p6	100000	3297.2416380337986	2941	0	9806	1928	4294	ngm	dedup_TE
Zikavirus_MR-766	F	p6	100000	2576.1141852503006	2525	0	5626	2253.5	2796	ngm	dedup_TE
adenovirusF	F	p6	100000	277.0409189220787	261	0	679	234	301	ngm	dedup_TE
herpesvirus5	F	p6	100000	249.01649508160548	265	0	2445	232	295	ngm	dedup_TE
orthopneumovirusA	F	p6	100000	2513.329982919459	1404	0	13785	269	3979.75	ngm	dedup_TE
orthoreovirus3	F	p6	100000	1551.6073398387782	940	0	10603	542	1945.75	ngm	dedup_TE
B/Florida/4/2006	G	p2	100	6.103919781221514	6	0	23	3	9	ngm	dedup_TE
Zikavirus_MR-766	G	p2	100	6.467474784861664	6	0	19	3	9	ngm	dedup_TE
adenovirusF	G	p2	100	1.1150113988425792	1	0	11	0	2	ngm	dedup_TE
herpesvirus5	G	p2	100	1.9504680749938468	1	0	34	0	3	ngm	dedup_TE
orthopneumovirusA	G	p2	100	4.636250164235974	3	0	30	1	6	ngm	dedup_TE
orthoreovirus3	G	p2	100	7.75074246924056	7	0	27	4	11	ngm	dedup_TE
B/Florida/4/2006	H	p8	100	43.20994320173901	39	0	174	25	57	ngm	dedup_TE
Zikavirus_MR-766	H	p8	100	49.097529379106135	48	0	101	39	59	ngm	dedup_TE
adenovirusF	H	p8	100	12.425118372596014	11	0	45	8	16	ngm	dedup_TE
herpesvirus5	H	p8	100	12.966063502032709	12	0	213	7	18	ngm	dedup_TE
orthopneumovirusA	H	p8	100	41.0899356194981	28	0	267	11	62	ngm	dedup_TE
orthoreovirus3	H	p8	100	101.71514637250742	103	0	222	81	124	ngm	dedup_TE
B/Florida/4/2006	I	p6	100	3579.8102517355023	3152	0	9998	2272	4888	ngm	dedup_TE
Zikavirus_MR-766	I	p6	100	3720.8195613953917	3652	0	5875	3219	4270	ngm	dedup_TE
adenovirusF	I	p6	100	666.8294265505349	579	0	2906	416	789.75	ngm	dedup_TE
herpesvirus5	I	p6	100	1302.473532332397	1161	0	6042	862	1590	ngm	dedup_TE
orthopneumovirusA	I	p6	100	2766.9824595979503	2318.5	1	10158	923	4045	ngm	dedup_TE
orthoreovirus3	I	p6	100	4572.543911752227	4692	0	10066	3032.25	5948.75	ngm	dedup_TE
B/Florida/4/2006	J	p8	1000	117.1182245284342	110	0	348	74	153	ngm	dedup_TE
Zikavirus_MR-766	J	p8	1000	131.8091052095864	133	0	228	111	153	ngm	dedup_TE
adenovirusF	J	p8	1000	23.964809727012334	22	0	84	15	29	ngm	dedup_TE
herpesvirus5	J	p8	1000	37.981900817327684	36	0	179	26	48	ngm	dedup_TE
orthopneumovirusA	J	p8	1000	91.36210747602155	74	0	307	30	143	ngm	dedup_TE
orthoreovirus3	J	p8	1000	172.44374204497242	172	0	369	116	224	ngm	dedup_TE
B/Florida/4/2006	K	p8	100000	17878.787392188486	17644	0	35778	12906	22746	ngm	dedup_TE
Zikavirus_MR-766	K	p8	100000	21443.086610530212	21450	18	28490	19572	23967.5	ngm	dedup_TE
adenovirusF	K	p8	100000	6812.160197579938	6798	2	14837	5401	7943.75	ngm	dedup_TE
herpesvirus5	K	p8	100000	8044.865429500182	8208	0	26443	6548	10046	ngm	dedup_TE
orthopneumovirusA	K	p8	100000	13740.714032321639	11093	20	39407	6137	20234.75	ngm	dedup_TE
orthoreovirus3	K	p8	100000	32102.57997454391	33678.5	9	51974	26744.25	38712	ngm	dedup_TE
B/Florida/4/2006	L	p2	100000	1544.5286445550803	1435	0	3997	1040	2048	ngm	dedup_TE
Zikavirus_MR-766	L	p2	100000	1480.1340797631165	1482	1	2508	1270	1718	ngm	dedup_TE
adenovirusF	L	p2	100000	342.2617057344946	330	0	870	252	406	ngm	dedup_TE
herpesvirus5	L	p2	100000	453.0730035731564	431	0	2209	329	566	ngm	dedup_TE
orthopneumovirusA	L	p2	100000	1274.7052949678098	1061	0	4567	511	1895	ngm	dedup_TE
orthoreovirus3	L	p2	100000	2489.7848112006786	2506	0	5702	1859	3120.75	ngm	dedup_TE
B/Florida/4/2006	M	p2	1000	226.74216394362247	219	0	611	144	296	ngm	dedup_TE
Zikavirus_MR-766	M	p2	1000	272.9215323401499	266	0	461	234	319	ngm	dedup_TE
adenovirusF	M	p2	1000	69.16376337171918	68	0	169	55	82	ngm	dedup_TE
herpesvirus5	M	p2	1000	73.43202940003225	73	0	339	56	92	ngm	dedup_TE
orthopneumovirusA	M	p2	1000	196.43607935882275	145	0	988	63	302	ngm	dedup_TE
orthoreovirus3	M	p2	1000	582.3545608824777	587	0	995	489	694	ngm	dedup_TE
B/Florida/4/2006	N	p2	100000	11271.765303975879	10781	0	25539	7630	14760	ngm	dedup_TE
Zikavirus_MR-766	N	p2	100000	13016.55713889146	12916	12	18743	11799	14972	ngm	dedup_TE
adenovirusF	N	p2	100000	3951.921318758403	3934	0	8151	3164	4643.75	ngm	dedup_TE
herpesvirus5	N	p2	100000	4217.577480627721	4220	0	14790	3423	5230	ngm	dedup_TE
orthopneumovirusA	N	p2	100000	9050.199710944686	7120.5	4	31829	3795	13576.75	ngm	dedup_TE
orthoreovirus3	N	p2	100000	24095.809800593976	25032.5	4	37139	20920	28538	ngm	dedup_TE
B/Florida/4/2006	O	p8	100	14.317930018932755	13	0	51	9	18	ngm	dedup_TE
Zikavirus_MR-766	O	p8	100	18.054686777088925	18	0	37	14	22	ngm	dedup_TE
adenovirusF	O	p8	100	3.7453966212661483	3	0	25	2	5	ngm	dedup_TE
herpesvirus5	O	p8	100	4.928396832536942	4	0	83	2	7	ngm	dedup_TE
orthopneumovirusA	O	p8	100	12.898962028642755	10	0	53	4	20	ngm	dedup_TE
orthoreovirus3	O	p8	100	23.143614764531183	21	0	63	14	32	ngm	dedup_TE
B/Florida/4/2006	P	p2	1000	304.05322207418834	279	0	934	200	378	ngm	dedup_TE
Zikavirus_MR-766	P	p2	1000	312.9672434533173	309	0	574	269	352	ngm	dedup_TE
adenovirusF	P	p2	1000	93.53483953936986	90	0	225	77	108	ngm	dedup_TE
herpesvirus5	P	p2	1000	86.80171528479158	84	0	643	63	110	ngm	dedup_TE
orthopneumovirusA	P	p2	1000	264.09650505846804	193	0	1321	90	399	ngm	dedup_TE
orthoreovirus3	P	p2	1000	775.4193466270683	797	0	1164	693	907	ngm	dedup_TE
