virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Human_adenovirus_40	A	p6	1000	2.634217259827867	2	0	11	1	4	ngm	dedup_TE
Human_betaherpesvirus	A	p6	1000	3.5661086531393464	3	0	135	2	5	ngm	dedup_TE
Human_respiratory_syncytial_virus	A	p6	1000	41.39604675597583	14	0	271	3	59	ngm	dedup_TE
Influenza_B_virus	A	p6	1000	44.52246726395589	38	0	173	23	58	ngm	dedup_TE
Mammalian_orthoreovirus3	A	p6	1000	22.46493850358729	12	0	232	6	29	ngm	dedup_TE
Zika_virus	A	p6	1000	35.09989043097151	33	0	108	26	41	ngm	dedup_TE
Human_adenovirus_40	B	p2	100	1.2430216329378925	1	0	17	0	2	ngm	dedup_TE
Human_betaherpesvirus	B	p2	100	2.434381400165508	2	0	54	1	4	ngm	dedup_TE
Human_respiratory_syncytial_virus	B	p2	100	5.597977410034148	4	0	28	1	8	ngm	dedup_TE
Influenza_B_virus	B	p2	100	6.3031013094417645	5	0	23	2	10	ngm	dedup_TE
Mammalian_orthoreovirus3	B	p2	100	8.668901605739665	8	0	31	5	12	ngm	dedup_TE
Zika_virus	B	p2	100	5.6681884587289995	5	0	18	3	8	ngm	dedup_TE
Human_adenovirus_40	C	p8	100000	3825.2290067457548	3690	0	9994	2812	4618	ngm	dedup_TE
Human_betaherpesvirus	C	p8	100000	6316.479364595037	5813	493	35853	4839	7233	ngm	dedup_TE
Human_respiratory_syncytial_virus	C	p8	100000	9968.71913580247	8095.5	0	27448	4433	14515.25	ngm	dedup_TE
Influenza_B_virus	C	p8	100000	12622.133494141972	12256	0	25317	9036.5	16573.75	ngm	dedup_TE
Mammalian_orthoreovirus3	C	p8	100000	20738.440339938505	21531	0	35324	16192	25635.25	ngm	dedup_TE
Zika_virus	C	p8	100000	14655.601716581446	14812	0	20679	13409.5	16714.25	ngm	dedup_TE
Human_adenovirus_40	D	p8	1000	17.221534077692485	16	0	59	12	21	ngm	dedup_TE
Human_betaherpesvirus	D	p8	1000	23.636459041252312	22	0	195	16	28	ngm	dedup_TE
Human_respiratory_syncytial_virus	D	p8	1000	63.82939322301024	43	0	394	22	94	ngm	dedup_TE
Influenza_B_virus	D	p8	1000	74.98986905582358	69	0	220	44	100	ngm	dedup_TE
Mammalian_orthoreovirus3	D	p8	1000	140.2200632046464	143	0	293	106	175	ngm	dedup_TE
Zika_virus	D	p8	1000	73.25766983199415	75	0	120	59	90	ngm	dedup_TE
Human_adenovirus_40	E	control	0	0.03652012095836241	0	0	2	0	0	ngm	dedup_TE
Human_betaherpesvirus	E	control	0	0.03232040239848731	0	0	7	0	0	ngm	dedup_TE
Human_respiratory_syncytial_virus	E	control	0	0.07650380877331232	0	0	4	0	0	ngm	dedup_TE
Influenza_B_virus	E	control	0	0.017176596886741814	0	0	1	0	0	ngm	dedup_TE
Mammalian_orthoreovirus3	E	control	0	0.26328783038048215	0	0	5	0	0	ngm	dedup_TE
Zika_virus	E	control	0	0.056245434623813005	0	0	2	0	0	ngm	dedup_TE
Human_adenovirus_40	F	p6	100000	272.7799488253082	260	0	681	233	301	ngm	dedup_TE
Human_betaherpesvirus	F	p6	100000	287.18271128925625	274	57	2458	248	303	ngm	dedup_TE
Human_respiratory_syncytial_virus	F	p6	100000	2513.4476622012085	1400.5	0	13888	269	3976.25	ngm	dedup_TE
Influenza_B_virus	F	p6	100000	3278.1871812543072	2913	0	10384	1885.25	4284	ngm	dedup_TE
Mammalian_orthoreovirus3	F	p6	100000	1561.3043645370687	947	0	10633	548	1966	ngm	dedup_TE
Zika_virus	F	p6	100000	2585.7220598977356	2528	0	6544	2249	2803	ngm	dedup_TE
Human_adenovirus_40	G	p2	100	1.112148173993952	1	0	11	0	2	ngm	dedup_TE
Human_betaherpesvirus	G	p2	100	2.2826405551471773	2	0	23	1	3	ngm	dedup_TE
Human_respiratory_syncytial_virus	G	p2	100	4.640661938534278	3	0	30	1	6	ngm	dedup_TE
Influenza_B_virus	G	p2	100	5.99421088904204	5	0	22	3	9	ngm	dedup_TE
Mammalian_orthoreovirus3	G	p2	100	7.781431499829177	7	0	27	4	11	ngm	dedup_TE
Zika_virus	G	p2	100	6.383948137326516	6	0	19	3	9	ngm	dedup_TE
Human_adenovirus_40	H	p8	100	12.29809257966969	11	0	45	8	16	ngm	dedup_TE
Human_betaherpesvirus	H	p8	100	14.986357100918616	13	0	143	9	19	ngm	dedup_TE
Human_respiratory_syncytial_virus	H	p8	100	40.82689781980562	28	0	267	10	62	ngm	dedup_TE
Influenza_B_virus	H	p8	100	42.68532046864232	39	0	174	24	56	ngm	dedup_TE
Mammalian_orthoreovirus3	H	p8	100	102.20759309873591	103	0	224	81	124	ngm	dedup_TE
Zika_virus	H	p8	100	49.012691745799856	49	0	101	40	59	ngm	dedup_TE
Human_adenovirus_40	I	p6	100	656.6252616887648	576	0	2908	407	784	ngm	dedup_TE
Human_betaherpesvirus	I	p6	100	1536.9384705713742	1259	94	14351	989	1742	ngm	dedup_TE
Human_respiratory_syncytial_virus	I	p6	100	2765.5908852114526	2315.5	0	10161	922	4048	ngm	dedup_TE
Influenza_B_virus	I	p6	100	3536.672226050999	3131	0	10050	2216	4869	ngm	dedup_TE
Mammalian_orthoreovirus3	I	p6	100	4596.8712418858895	4706	0	10056	3052	5977.25	ngm	dedup_TE
Zika_virus	I	p6	100	3680.7523739956173	3635	0	5811	3196.75	4258.25	ngm	dedup_TE
Human_adenovirus_40	J	p8	1000	23.609763898581065	22	0	84	15	29	ngm	dedup_TE
Human_betaherpesvirus	J	p8	1000	44.78327161435579	39	2	464	30	52	ngm	dedup_TE
Human_respiratory_syncytial_virus	J	p8	1000	91.4091804570528	74	0	307	30	144	ngm	dedup_TE
Influenza_B_virus	J	p8	1000	115.87325982081323	109	0	350	73	153	ngm	dedup_TE
Mammalian_orthoreovirus3	J	p8	1000	173.53864878715407	172	0	369	117	226	ngm	dedup_TE
Zika_virus	J	p8	1000	130.39453981008035	132	0	230	110	152	ngm	dedup_TE
Human_adenovirus_40	K	p8	100000	6715.743748546173	6773	0	14846	5342	7920	ngm	dedup_TE
Human_betaherpesvirus	K	p8	100000	9319.261323236386	8668	1054	47590	7288.5	10546	ngm	dedup_TE
Human_respiratory_syncytial_virus	K	p8	100000	13732.471368531651	11083	0	39407	6137.75	20236.5	ngm	dedup_TE
Influenza_B_virus	K	p8	100000	17674.240799448657	17555.5	1	35778	12788	22700.5	ngm	dedup_TE
Mammalian_orthoreovirus3	K	p8	100000	32187.119576358047	33722.5	0	51625	26805.5	38724	ngm	dedup_TE
Zika_virus	K	p8	100000	21276.969959824688	21484.5	0	28494	19520.75	24032	ngm	dedup_TE
Human_adenovirus_40	L	p2	100000	337.0805710630379	328	0	870	248	405	ngm	dedup_TE
Human_betaherpesvirus	L	p2	100000	528.1288470340218	466	25	4484	371	606	ngm	dedup_TE
Human_respiratory_syncytial_virus	L	p2	100000	1274.0648804833202	1054	0	4565	510	1894	ngm	dedup_TE
Influenza_B_virus	L	p2	100000	1526.0718814610614	1425	0	4029	1018	2041	ngm	dedup_TE
Mammalian_orthoreovirus3	L	p2	100000	2500.3759395285274	2507	0	5696	1867	3126	ngm	dedup_TE
Zika_virus	L	p2	100000	1468.7313732651571	1476	0	2508	1263	1717	ngm	dedup_TE
Human_adenovirus_40	M	p2	1000	68.16370086066527	68	0	169	54	82	ngm	dedup_TE
Human_betaherpesvirus	M	p2	1000	86.03012440881542	79	9	692	65	97	ngm	dedup_TE
Human_respiratory_syncytial_virus	M	p2	1000	196.2001576044129	144.5	0	988	63	303	ngm	dedup_TE
Influenza_B_virus	M	p2	1000	224.64562370778773	216	0	609	141	295	ngm	dedup_TE
Mammalian_orthoreovirus3	M	p2	1000	585.8201656986676	586	0	995	491	699	ngm	dedup_TE
Zika_virus	M	p2	1000	272.60591672753833	266	0	460	234	321	ngm	dedup_TE
Human_adenovirus_40	N	p2	100000	3893.302076064201	3924	0	7479	3130	4621	ngm	dedup_TE
Human_betaherpesvirus	N	p2	100000	4873.3012764501655	4492	863	30543	3779	5469	ngm	dedup_TE
Human_respiratory_syncytial_virus	N	p2	100000	9042.229314420803	7116.5	0	31783	3795	13581.25	ngm	dedup_TE
Influenza_B_virus	N	p2	100000	11157.285251550655	10729.5	0	25534	7320.25	14696.75	ngm	dedup_TE
Mammalian_orthoreovirus3	N	p2	100000	24167.560685001707	25028.5	0	36924	20995	28529	ngm	dedup_TE
Zika_virus	N	p2	100000	12942.819211102995	12901	0	18756	11748.5	15124	ngm	dedup_TE
Human_adenovirus_40	O	p8	100	3.6988543847406374	3	0	25	2	5	ngm	dedup_TE
Human_betaherpesvirus	O	p8	100	5.895049999306529	5	0	75	3	8	ngm	dedup_TE
Human_respiratory_syncytial_virus	O	p8	100	12.877396900446547	10	0	54	4	20	ngm	dedup_TE
Influenza_B_virus	O	p8	100	14.105031013094418	13	0	51	8	18	ngm	dedup_TE
Mammalian_orthoreovirus3	O	p8	100	23.351554492654596	22	0	63	14	32	ngm	dedup_TE
Zika_virus	O	p8	100	17.960463842220598	18	0	37	14	22	ngm	dedup_TE
Human_adenovirus_40	P	p2	1000	92.33903233310072	89	0	224	77	107	ngm	dedup_TE
Human_betaherpesvirus	P	p2	1000	101.59226178092771	91	23	759	73	117	ngm	dedup_TE
Human_respiratory_syncytial_virus	P	p2	1000	263.9726819017599	193	0	1319	90	397	ngm	dedup_TE
Influenza_B_virus	P	p2	1000	301.6201929703653	277	0	932	195	376	ngm	dedup_TE
Mammalian_orthoreovirus3	P	p2	1000	779.1610437307824	800	0	1205	694	911	ngm	dedup_TE
Zika_virus	P	p2	1000	314.04291453615775	309	0	596	269	357	ngm	dedup_TE
