virus	Sample_id	Background	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Human_adenovirus_40	A	p6	1000	16.11005466387532	12	0	103	4	22	ngm	nodedup_TE
Human_betaherpesvirus	A	p6	1000	52.02906570875115	41	0	572	17	72	ngm	nodedup_TE
Human_respiratory_syncytial_virus	A	p6	1000	455.64066193853427	184	0	2782	36	664.25	ngm	nodedup_TE
Influenza_B_virus	A	p6	1000	545.0781529979324	434	0	2571	265	718	ngm	nodedup_TE
Mammalian_orthoreovirus3	A	p6	1000	158.65164844550733	82	0	1529	40	187	ngm	nodedup_TE
Zika_virus	A	p6	1000	393.252465303141	370	0	1308	283	470	ngm	nodedup_TE
Human_adenovirus_40	B	p2	100	1.5849034659223076	1	0	19	0	2	ngm	nodedup_TE
Human_betaherpesvirus	B	p2	100	3.7550750567490967	2	0	76	1	5	ngm	nodedup_TE
Human_respiratory_syncytial_virus	B	p2	100	8.207249802994484	5	0	63	2	12	ngm	nodedup_TE
Influenza_B_virus	B	p2	100	8.999724328049622	7	0	47	2	13	ngm	nodedup_TE
Mammalian_orthoreovirus3	B	p2	100	10.309318414759138	9	0	38	5	14	ngm	nodedup_TE
Zika_virus	B	p2	100	7.164170927684442	6	0	27	3	10	ngm	nodedup_TE
Human_adenovirus_40	C	p8	100000	6377.041230518726	5441	0	29500	3835	7554	ngm	nodedup_TE
Human_betaherpesvirus	C	p8	100000	16522.81368265812	12976	661	209155	10069	18524.5	ngm	nodedup_TE
Human_respiratory_syncytial_virus	C	p8	100000	27400.285263987393	23074.5	0	114423	10020.5	39800.75	ngm	nodedup_TE
Influenza_B_virus	C	p8	100000	35427.94183321847	30839.5	0	108487	21598.5	47143.5	ngm	nodedup_TE
Mammalian_orthoreovirus3	C	p8	100000	45163.51827810045	42632.5	0	112996	28171	60193.5	ngm	nodedup_TE
Zika_virus	C	p8	100000	35400.60701241782	35231.5	0	61006	30139	40687	ngm	nodedup_TE
Human_adenovirus_40	D	p8	1000	38.80024424284717	33	0	275	21	49	ngm	nodedup_TE
Human_betaherpesvirus	D	p8	1000	94.53776415491231	77	0	977	56	112	ngm	nodedup_TE
Human_respiratory_syncytial_virus	D	p8	1000	226.20547675334907	183	0	861	84	326	ngm	nodedup_TE
Influenza_B_virus	D	p8	1000	254.4331495520331	227	0	851	146	340	ngm	nodedup_TE
Mammalian_orthoreovirus3	D	p8	1000	273.6163307140417	255	0	791	166	367	ngm	nodedup_TE
Zika_virus	D	p8	1000	225.84842951059167	224	0	441	187	269	ngm	nodedup_TE
Human_adenovirus_40	E	control	0	1.4582461037450571	0	0	159	0	0	ngm	nodedup_TE
Human_betaherpesvirus	E	control	0	0.7670767395736539	0	0	186	0	0	ngm	nodedup_TE
Human_respiratory_syncytial_virus	E	control	0	2.7551878119254005	0	0	201	0	0	ngm	nodedup_TE
Influenza_B_virus	E	control	0	0.017176596886741814	0	0	1	0	0	ngm	nodedup_TE
Mammalian_orthoreovirus3	E	control	0	4.40478265078904	0	0	103	0	0	ngm	nodedup_TE
Zika_virus	E	control	0	0.3818480642804967	0	0	22	0	0	ngm	nodedup_TE
Human_adenovirus_40	F	p6	100000	2068.9074494068386	1671	0	8960	1187	2412	ngm	nodedup_TE
Human_betaherpesvirus	F	p6	100000	4940.04832572826	3982	258	64715	3152	5340	ngm	nodedup_TE
Human_respiratory_syncytial_virus	F	p6	100000	37337.788087733126	19234.5	0	238840	3267	56858.75	ngm	nodedup_TE
Influenza_B_virus	F	p6	100000	49422.40758097864	36152	0	236208	24188	66591	ngm	nodedup_TE
