virus	Sample_id	Background	Viral load	mean_depth	median_depth	min_coverage	max	LQ	UQ	dataset
InfluenzaB	A	p6	1000	35.4490568683823	30	0	111	20	47	nodedup
Zikavirus	A	p6	1000	18.52845603936496	18	0	73	7	26	nodedup
adenovirusF	A	p6	1000	2.63351259718244	2	0	11	1	4	nodedup
herpesvirus5	A	p6	1000	2.9035015164047424	3	0	23	1	4	nodedup
orthopneumovirusA	A	p6	1000	34.098935750886874	13	0	232	2	51	nodedup
orthoreovirus3	A	p6	1000	18.509758167161646	10	0	109	5	25	nodedup
InfluenzaB	B	p2	100	6.036603323750088	5	0	22	2	9	nodedup
Zikavirus	B	p2	100	2.9755549311604383	2	0	15	0	5	nodedup
adenovirusF	B	p2	100	1.2033962705325305	1	0	9	0	2	nodedup
herpesvirus5	B	p2	100	2.0120145047839575	2	0	15	0	3	nodedup
orthopneumovirusA	B	p2	100	5.236105636578636	4	0	28	1	8	nodedup
orthoreovirus3	B	p2	100	8.047136190072125	7	0	30	4	11	nodedup
InfluenzaB	C	p8	100000	11066.272631652759	11125	55	20910	8050	14501	nodedup
Zikavirus	C	p8	100000	6513.365192450037	6401	0	16043	1385	10985	nodedup
adenovirusF	C	p8	100000	3595.592476763898	3446	71	9275	2655	4303	nodedup
herpesvirus5	C	p8	100000	4979.109182292509	5035	0	15414	3989	6311	nodedup
orthopneumovirusA	C	p8	100000	8770.040270660886	6835.5	10	19764	4150	12777.5	nodedup
orthoreovirus3	C	p8	100000	18471.515103945694	19107	28	32571	14500.25	23282.75	nodedup
InfluenzaB	D	p8	1000	64.14998948180352	60	0	178	41	84	nodedup
Zikavirus	D	p8	1000	35.163730762099014	35	0	90	15	53	nodedup
adenovirusF	D	p8	1000	16.291693458818028	15	1	53	12	20	nodedup
herpesvirus5	D	p8	1000	18.73533207542348	19	0	76	13	24	nodedup
orthopneumovirusA	D	p8	1000	55.49691236368414	38	0	272	20	84	nodedup
orthoreovirus3	D	p8	1000	125.8680101824353	127	0	266	96	159	nodedup
Zikavirus	E	control	0	0.022249690976514216	0	0	2	0	0	nodedup
adenovirusF	E	control	0	0.0174197696849243	0	0	2	0	0	nodedup
herpesvirus5	E	control	0	0.01841355765966276	0	0	2	0	0	nodedup
orthopneumovirusA	E	control	0	0.07055577453685455	0	0	4	0	0	nodedup
orthoreovirus3	E	control	0	0.2752470992694456	0	0	3	0	0	nodedup
InfluenzaB	F	p6	100000	2557.4563494846084	2390	2	6338	1594	3415	nodedup
Zikavirus	F	p6	100000	1157.947983310153	1237	0	4230	372	1730	nodedup
adenovirusF	F	p6	100000	267.9504004208803	254	11	641	230	289	nodedup
