virus	length	matched	unmatched	sample_id	Viral load	Replicate	mapper	type
Human_adenovirus_40	34392	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Zika_virus	10952	0	0	ERR13488820	0	3	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	0	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	3	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	0	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	0	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	0	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Zika_virus	10952	0	0	ERR13488577	0	4	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Zika_virus	10952	0	0	ERR13488576	0	2	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Zika_virus	10952	0	0	ERR13488575	0	1	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	58	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	484	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	23	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	103	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	396	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Zika_virus	10952	198	0	ERR13488574	60	D	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	55	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	624	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	76	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	58	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	243	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Zika_virus	10952	40	0	ERR13488573	60	B	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	69	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	304	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	28	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	133	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	273	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Zika_virus	10952	70	0	ERR13488572	60	A	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	487	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	4763	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	797	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	959	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	3020	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Zika_virus	10952	903	0	ERR13488571	600	D	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	299	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	4277	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	637	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	745	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	3665	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Zika_virus	10952	517	0	ERR13488570	600	C	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	288	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	3155	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	388	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	817	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	2321	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Zika_virus	10952	589	0	ERR13488569	600	B	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	167	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	2979	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	282	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	456	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	1783	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Zika_virus	10952	945	0	ERR13488568	600	A	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	3522	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	46160	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	7338	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	11611	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	36606	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Zika_virus	10952	9367	0	ERR13488567	6000	B	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	2388	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	33862	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	3049	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	4883	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	19521	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Zika_virus	10952	7216	0	ERR13488566	6000	A	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	33990	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	527390	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	74650	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	86582	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	309261	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Zika_virus	10952	102193	0	ERR13488565	60000	B	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	18910	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	299753	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	24680	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	40140	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	180392	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Zika_virus	10952	61543	0	ERR13488564	60000	A	bowtie2	nodedup_GM_TE
Human_adenovirus_40	34392	0	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
Human_betaherpesvirus	216303	358	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
Human_respiratory_syncytial_virus	15228	130	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
Influenza_B_virus	14510	177	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
Mammalian_orthoreovirus3	23416	245	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
Zika_virus	10952	74	0	ERR13485760	60	C	bowtie2	nodedup_GM_TE
