virus	Sample_id	Replicate	Viral load	mean_depth	median_depth	min	max	LQ	UQ	mapper	type
Human_betaherpesvirus	f7a7da31a03846cc	4	0	8.933782801872539e-4	0	0	1	0	0	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	D	60	0.07408699697604094	0	0	2	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	D	60	0.06553307166336104	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	D	60	0.09843708957184134	0	0	2	0	0	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	D	60	0.35945283466434724	0	0	3	0	0	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	D	60	0.822111861922983	0	0	7	0	2	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	D	60	1.8930390492359932	2	0	6	1	3	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	D	60	0.4843864134404675	0	0	4	0	1	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	B	60	0.04759827866945802	0	0	2	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	B	60	0.11209738191333452	0	0	6	0	0	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	B	60	0.13409508799579722	0	0	2	0	0	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	B	60	0.917424045702415	0	0	5	0	2	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	B	60	0.773072881251159	0	0	6	0	1	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	B	60	0.1697792869269949	0	0	2	0	0	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	B	60	0.1345872899926954	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	A	60	0.08792742498255408	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	A	60	0.04756290943722461	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	A	60	0.08418702390333596	0	0	4	0	0	bowtie2	dedup_GM_TE
Influenza_B_virus	6cacbc2710ed41a7	A	60	0.5873958433100278	0	0	5	0	1	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd	A	60	0.6160821378880199	0	0	5	0	1	bowtie2	dedup_GM_TE
Mammalian_orthoreovirus3	b743b6d8043e41fd0	A	60	0.5738539898132428	0	0	4	0	1	bowtie2	dedup_GM_TE
Zika_virus	9c65c86b09fd4b2b	A	60	0.2738312636961286	0	0	4	0	0	bowtie2	dedup_GM_TE
Human_adenovirus_40	c8d8fcc3d3d544a7	D	600	0.4068969527797162	0	0	6	0	0	bowtie2	dedup_GM_TE
Human_betaherpesvirus	f7a7da31a03846cc	D	600	0.5407368367521487	0	0	9	0	1	bowtie2	dedup_GM_TE
Human_respiratory_syncytial_virus	4d58e6947acd4a89	D	600	1.3532965589703179	0	0	10	0	2	bowtie2	dedup_GM_TE
